cfg_curvature_lambda,cfg_curvature_mode,cfg_curvature_tau,cfg_fit_start_step,cfg_max_mode,cfg_nuisance_lambda,cfg_response_lambda,cfg_retention_power,cfg_rho,cfg_ridge_tau,cfg_shrink_curvature,cfg_signed_curvature_coef,config,delta_first_vs_pure_pct,delta_refit_mpl_vs_pure_pct,delta_vs_first_error_pct,delta_vs_pure_pct,final_error_mae,final_step_curvature_coef,final_step_primary_coef,final_target_retention,first_error_mae,first_step_curvature_coef,first_step_primary_coef,first_target_retention,forced_channel,pure_mpl_mae,refit_mpl_mae,scale,test_curve,test_label,win_vs_first_error,win_vs_pure
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-11.096106554355945,-2.357940221068766,-2.866606862823462,-13.644631665186036,0.003716152761351462,0.012471609079762818,0.03238985538973915,0.13545769423485218,0.003825824097489654,0.011574696714930074,0.03214862535394649,0.1354590230942333,step,0.004303325702859985,0.004201855855268659,25,wsd_20000_24000.csv,WSD sharp,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-8.492694703165228,-2.980723849772371,-3.329379976037672,-11.539320602329706,0.003415115087648314,0.012471609079762818,0.03238985538973915,0.1740111420989493,0.003532733199395834,0.011574696714930074,0.03214862535394649,0.17400851700432016,step,0.003860602372604268,0.0037455284769391745,25,wsdld_20000_24000.csv,WSD linear,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-40.87331497507953,0.08340933639305881,-0.7672305092048082,-41.326952941672154,0.005040839719245162,0.012471609079762818,0.03238985538973915,0.31703449825739155,0.0050798135989873275,0.011574696714930074,0.03214862535394649,0.3177507144317481,step,0.008591406057766149,0.008598572092545765,25,wsdcon_3.csv,WSD-con 3e-5,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-17.234120478662685,-1.121750248358122,-1.403688012703841,-18.3958952081126,0.00493885373166089,0.012471609079762818,0.03238985538973915,0.6228922369831599,0.005009166805648112,0.011574696714930074,0.03214862535394649,0.6242915715816323,step,0.006052212378600692,0.005984321671212578,25,wsdcon_9.csv,WSD-con 9e-5,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-7.700778986626789,-0.9535869633289118,-1.00729774584154,-8.630506959323792,0.003777569276203939,0.012471609079762818,0.03238985538973915,0.7748708332166838,0.003816007837128471,0.011574696714930074,0.03214862535394649,0.7767283930167296,step,0.004134387912738256,0.004094962928588938,25,wsdcon_18.csv,WSD-con 18e-5,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-11.860142413996256,-1.344868125340981,-1.7004860052992177,-13.358948357336919,0.0037644586531273613,0.0,0.03280591784353618,0.13678296343090343,0.003829580127253019,0.0,0.03255775791015948,0.1367829634309035,step,0.004344890305179187,0.004286457260383802,100,wsd_20000_24000.csv,WSD sharp,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-10.199095132003311,-1.7705558683912104,-2.2739990005143818,-12.241166811154425,0.0031750099507229764,0.0,0.03280591784353618,0.17589370056700024,0.0032488896693313872,0.0,0.03255775791015948,0.17589370056700018,step,0.0036178807709199698,0.003553824170619049,100,wsdld_20000_24000.csv,WSD linear,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-39.63656900615982,0.5009392954814285,-0.015336579295732733,-39.64582669161981,0.004784923673040245,0.0,0.03280591784353618,0.37765160026310274,0.004785657629217372,0.0,0.03255775791015948,0.37765160026310274,step,0.007928074250295227,0.007967789089589901,100,wsdcon_3.csv,WSD-con 3e-5,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-15.016978480025378,-0.7035535185128117,-1.0329274426885582,-15.894791430931122,0.005262208072471092,0.0,0.03280591784353618,0.6933755732886565,0.005317130169151732,0.0,0.03255775791015948,0.6933755732886566,step,0.0062566970131816045,0.0062126778012026795,100,wsdcon_9.csv,WSD-con 9e-5,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-11.961702641535599,-2.288032971463605,-2.7648413197121857,-14.395821864073511,0.00228667945239973,0.0,0.03280591784353618,0.8321660011230034,0.002351700232133525,0.0,0.03255775791015948,0.8321660011230031,step,0.0026712241180200675,0.0026101056294580804,100,wsdcon_18.csv,WSD-con 18e-5,1,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-10.816243972417006,0.4322650265550232,0.24996134179489093,-10.593319059187378,0.006505635485769995,0.0057944101128683395,0.04875924153475422,0.13615794927464336,0.006489414458315358,0.00421699979264466,0.04819213410304349,0.13616086140787603,step,0.007276453411883992,0.007307906975157137,400,wsd_20000_24000.csv,WSD sharp,0,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-10.119857703816226,0.34076132224929445,0.1152327700431055,-10.016286326129642,0.005458069137678222,0.0057944101128683395,0.04875924153475422,0.17635206632587572,0.0054517868926250036,0.00421699979264466,0.04819213410304349,0.1763493294983673,step,0.006065618893503333,0.006086288176647438,400,wsdld_20000_24000.csv,WSD linear,0,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-34.217905703860794,2.9688856032351607,3.970523887283006,-31.606011936277568,0.010517922174421684,0.0057944101128683395,0.04875924153475422,0.3686416408797822,0.010116253896945275,0.00421699979264466,0.04819213410304349,0.3708382232888762,step,0.015378430871178581,0.015834998891316475,400,wsdcon_3.csv,WSD-con 3e-5,0,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-16.285594063140717,2.1110259748385873,2.4217339560993256,-14.258253868420978,0.007744954196816345,0.0057944101128683395,0.04875924153475422,0.6820627370817846,0.007561826867856034,0.00421699979264466,0.04819213410304349,0.6849404316525184,step,0.009032886016726277,0.009223572586816931,400,wsdcon_9.csv,WSD-con 9e-5,0,1
10.0,signed_d2_lr,0.003,3000,8,0.01,20.0,0.0,0.35,0.05,True,False,forced_step_current_core,-9.521729577561311,5.183966527748729,5.732219998635335,-4.335316065986916,0.004657769699951275,0.0057944101128683395,0.04875924153475422,0.822745378099423,0.004405251019993141,0.00421699979264466,0.04819213410304349,0.8252528615453186,step,0.004868849724276598,0.005121249264269483,400,wsdcon_18.csv,WSD-con 18e-5,0,1
