candidate,coef_0,coef_1,fit_objective,fit_start,kind,lambdas,localization,nuisance_lambda,residualized_corr,scale,signed,target_lambda,test_curve,test_label
continuous_lambda_projected_7_20,0.1252864164331454,,0.0007610733943098035,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.05420633238340881,25,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.12527950565286577,,0.0007610464835495071,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.05420266742992944,25,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.11043487800955736,,0.0008093536978678065,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.04862602385875941,25,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.11043487800955736,,0.0008093536978678065,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.04862602385875941,25,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.11043487800955736,,0.0008093536978678065,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.04862602385875941,25,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.17457562058342627,,0.0013931969917416291,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.07754363960601686,100,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.1745624774583202,,0.0013931516745464229,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.0775352755286299,100,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.15659459203408807,,0.0014841477799442811,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.07203552234536854,100,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.15659459203408807,,0.0014841477799442811,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.07203552234536854,100,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.15659459203408807,,0.0014841477799442811,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.07203552234536854,100,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.24187957570095597,,0.002236422915258326,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.11626067090278913,400,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.24186594927805954,,0.002236322694835149,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.11625265933961311,400,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.21348988519742867,,0.0024168312645421373,5000,adaptive_projected_raw,"7,20",1.0,0.05,0.10439294918393961,400,0,20.0,wsdcon_3.csv,WSD-con 3e-5
