attenuation,attenuation_factor,base_mae,coefficient,cooldown_support_span,corr_mae,delta_pct,effective_tau_steps,fit_start,group,ld_component,nonharm,split,tau_rule,tau_steps,test_curve,test_label,test_scale,train_scale,variant,win
none,1.0,0.003761619732988638,1.0,0,0.003912620650762841,4.014252595762291,512.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,512,constant_24000.csv,Constant 24k,25,,direct_mpl_ld_lag,0
none,1.0,0.0015795124507172926,1.0,0,0.0015709633275871895,-0.5412507591327165,512.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,512,constant_72000.csv,Constant 72k,25,,direct_mpl_ld_lag,1
none,1.0,0.0037480705220761528,1.0,4000,0.0025743156688069154,-31.316242486789292,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsd_20000_24000.csv,WSD sharp,100,,direct_mpl_ld_lag,1
none,1.0,0.003248313740665229,1.0,4000,0.0019510241855078833,-39.93732313836381,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsdld_20000_24000.csv,WSD linear,100,,direct_mpl_ld_lag,1
none,1.0,0.0056693997340904675,1.0,2,0.0042981599631743425,-24.186683515554066,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsdcon_3.csv,WSD-con 3e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.004934623402238123,1.0,2,0.006453304756130999,30.776033551092684,512.0,,core_wsd,full,0,direct_no_source_fit,fixed_grid,512,wsdcon_9.csv,WSD-con 9e-5,100,,direct_mpl_ld_lag,0
none,1.0,0.0013816404339982303,1.0,2,0.0026614757522772413,92.63157669578237,512.0,,core_wsd,full,0,direct_no_source_fit,fixed_grid,512,wsdcon_18.csv,WSD-con 18e-5,100,,direct_mpl_ld_lag,0
none,1.0,0.0032781062167547585,1.0,21840,0.004128801204365799,25.950806086241073,512.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,512,cosine_24000.csv,Cosine 24k,100,,direct_mpl_ld_lag,0
none,1.0,0.001848699219840022,1.0,0,0.0019703906336907473,6.582542608594588,512.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,512,constant_24000.csv,Constant 24k,100,,direct_mpl_ld_lag,0
none,1.0,0.004776169698442608,1.0,0,0.004739474337216951,-0.7683010349825325,512.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,512,constant_72000.csv,Constant 72k,100,,direct_mpl_ld_lag,1
none,1.0,0.004701998914275349,1.0,4000,0.002909752726916976,-38.11668654191056,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsd_20000_24000.csv,WSD sharp,400,,direct_mpl_ld_lag,1
none,1.0,0.0038535563963712593,1.0,4000,0.002146312309008007,-44.303077774361775,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsdld_20000_24000.csv,WSD linear,400,,direct_mpl_ld_lag,1
none,1.0,0.008173606778800102,1.0,2,0.005060463723544238,-38.087751705042,512.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,512,wsdcon_3.csv,WSD-con 3e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.006687305974578527,1.0,2,0.007025218534266506,5.053044693521369,512.0,,core_wsd,full,0,direct_no_source_fit,fixed_grid,512,wsdcon_9.csv,WSD-con 9e-5,400,,direct_mpl_ld_lag,0
none,1.0,0.0025579541942073844,1.0,2,0.003465576383352166,35.48234722889634,512.0,,core_wsd,full,0,direct_no_source_fit,fixed_grid,512,wsdcon_18.csv,WSD-con 18e-5,400,,direct_mpl_ld_lag,0
