con18_center,con18_config_id,con18_gate_sign,con18_gate_tau,con18_mean_delta,con18_shrink_gate,con18_time_power,con18_width,con18_worst_delta,con9_center,con9_config_id,con9_gate_sign,con9_gate_tau,con9_mean_delta,con9_shrink_gate,con9_time_power,con9_width,con9_worst_delta,mean_delta,median_delta,nonharm,rows,wins,worst_delta
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,26,signed,0.003,-17.427076008199645,1,1.0,0.05,-11.808812145838854,-37.808238524521705,-40.477293275340145,15,15,15,-11.808812145838854
0.3,466,signed,0.003,-13.205560366564294,1,2.0,0.25,-12.314812459538926,0.2,10,signed,0.01,-17.485034476000102,1,0.0,0.05,-11.6844842337675,-37.808099649156176,-40.477293275340145,15,15,15,-11.6844842337675
0.3,462,signed,0.001,-13.2025802023756,1,2.0,0.25,-12.266419528593541,0.2,51,signed,0.01,-17.48641773980782,0,2.0,0.05,-11.80343749520516,-37.807780269079984,-40.477293275340145,15,15,15,-11.80343749520516
0.3,370,signed,0.01,-13.150213385907717,1,0.0,0.15,-12.099407343284174,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.80774997457768,-40.477293275340145,15,15,15,-11.759015403496864
0.3,462,signed,0.001,-13.2025802023756,1,2.0,0.25,-12.266419528593541,0.2,10,signed,0.01,-17.485034476000102,1,0.0,0.05,-11.6844842337675,-37.807503616318435,-40.477293275340145,15,15,15,-11.6844842337675
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,22,signed,0.001,-17.421999880493544,1,1.0,0.05,-11.808931128014555,-37.80722329898048,-40.477293275340145,15,15,15,-11.808931128014555
0.3,466,signed,0.003,-13.205560366564294,1,2.0,0.25,-12.314812459538926,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.807136293397086,-40.477293275340145,15,15,15,-11.80756647979444
0.3,391,signed,0.01,-13.18868682527099,0,1.0,0.15,-11.980935755867005,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.80693023535607,-40.477293275340145,15,15,15,-11.706361339257654
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,26,signed,0.003,-17.427076008199645,1,1.0,0.05,-11.808812145838854,-37.80681856360124,-40.477293275340145,15,15,15,-11.808812145838854
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,55,signed,0.03,-17.435007510843985,0,2.0,0.05,-11.577407161487042,-37.80677863446146,-40.477293275340145,15,15,15,-11.577407161487042
0.3,391,signed,0.01,-13.18868682527099,0,1.0,0.15,-11.980935755867005,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.806743256697004,-40.477293275340145,15,15,15,-11.704506458753283
0.3,462,signed,0.001,-13.2025802023756,1,2.0,0.25,-12.266419528593541,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.80654026055935,-40.477293275340145,15,15,15,-11.80756647979444
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,35,signed,0.03,-17.415978643263337,0,1.0,0.05,-11.545967898777365,-37.80601905153444,-40.477293275340145,15,15,15,-11.545967898777365
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,22,signed,0.001,-17.421999880493544,1,1.0,0.05,-11.808931128014555,-37.80580333806002,-40.477293275340145,15,15,15,-11.808931128014555
0.3,466,signed,0.003,-13.205560366564294,1,2.0,0.25,-12.314812459538926,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.80569621628937,-40.477293275340145,15,15,15,-11.653897427837823
0.3,470,signed,0.01,-13.222079047033764,1,2.0,0.25,-12.658867610487102,0.2,54,signed,0.03,-17.456304361328275,1,2.0,0.05,-11.628590455941268,-37.80565736231571,-40.477293275340145,15,15,15,-11.628590455941268
0.2,231,signed,0.01,-13.182068737949086,0,2.0,0.25,-12.196503936287407,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.80560661789169,-40.477293275340145,15,15,15,-11.706361339257654
0.2,231,signed,0.01,-13.182068737949086,0,2.0,0.25,-12.196503936287407,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.80541963923262,-40.477293275340145,15,15,15,-11.704506458753283
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,26,signed,0.003,-17.427076008199645,1,1.0,0.05,-11.808812145838854,-37.8051923339326,-40.477293275340145,15,15,15,-11.808812145838854
0.3,462,signed,0.001,-13.2025802023756,1,2.0,0.25,-12.266419528593541,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.80510018345163,-40.477293275340145,15,15,15,-11.653897427837823
0.3,391,signed,0.01,-13.18868682527099,0,1.0,0.15,-11.980935755867005,0.2,51,signed,0.01,-17.48641773980782,0,2.0,0.05,-11.80343749520516,-37.805001593659064,-40.477293275340145,15,15,15,-11.80343749520516
0.3,391,signed,0.01,-13.18868682527099,0,1.0,0.15,-11.980935755867005,0.2,10,signed,0.01,-17.485034476000102,1,0.0,0.05,-11.6844842337675,-37.804724940897515,-40.477293275340145,15,15,15,-11.6844842337675
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,35,signed,0.03,-17.415978643263337,0,1.0,0.05,-11.545967898777365,-37.80459909061397,-40.477293275340145,15,15,15,-11.545967898777365
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,22,signed,0.001,-17.421999880493544,1,1.0,0.05,-11.808931128014555,-37.80417710839138,-40.477293275340145,15,15,15,-11.808931128014555
0.3,362,signed,0.001,-13.173451670601558,1,0.0,0.15,-12.101224065051442,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.803883204422185,-40.477293275340145,15,15,15,-11.706361339257654
0.3,391,signed,0.01,-13.18868682527099,0,1.0,0.15,-11.980935755867005,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.80376158513843,-40.477293275340145,15,15,15,-11.80756647979444
