bootstrap,full_kappa,kappa,retention,scale,subset_n,tau,train_curve,train_label
71,0.008872855850635438,0.0028244758703290978,0.012440906253158088,100,544,0.030898198785299612,cosine_72000.csv,Cosine
72,0.008872855850635438,0.00844747359841045,0.013553126663162473,100,547,0.030898198785299612,cosine_72000.csv,Cosine
73,0.008872855850635438,0.006453971393681277,0.011908332210570565,100,542,0.030898198785299612,cosine_72000.csv,Cosine
74,0.008872855850635438,0.008895759387905131,0.013061312711673649,100,544,0.030898198785299612,cosine_72000.csv,Cosine
75,0.008872855850635438,0.01838394059310609,0.01160611829610639,100,545,0.030898198785299612,cosine_72000.csv,Cosine
76,0.008872855850635438,0.026936921283001847,0.01623029753673233,100,547,0.030898198785299612,cosine_72000.csv,Cosine
77,0.008872855850635438,0.0028090575340731423,0.013534834576023955,100,545,0.030898198785299612,cosine_72000.csv,Cosine
78,0.008872855850635438,0.018167989988135066,0.03983371254527796,100,547,0.030898198785299612,cosine_72000.csv,Cosine
79,0.008872855850635438,0.007786928576170032,0.033724437135245915,100,548,0.030898198785299612,cosine_72000.csv,Cosine
0,0.0,0.0,0.015361971927212427,400,545,0.030898198785299612,cosine_72000.csv,Cosine
1,0.0,0.0,0.042870585053324396,400,546,0.030898198785299612,cosine_72000.csv,Cosine
2,0.0,0.0,0.04852618954958135,400,546,0.030898198785299612,cosine_72000.csv,Cosine
3,0.0,0.0016231771641504861,0.013321684857127815,400,545,0.030898198785299612,cosine_72000.csv,Cosine
4,0.0,0.00991917369359033,0.00200834455052416,400,548,0.030898198785299612,cosine_72000.csv,Cosine
5,0.0,0.0,0.02612432777394966,400,546,0.030898198785299612,cosine_72000.csv,Cosine
6,0.0,0.0,0.04469725389157342,400,546,0.030898198785299612,cosine_72000.csv,Cosine
7,0.0,0.0,0.01854644053148116,400,547,0.030898198785299612,cosine_72000.csv,Cosine
8,0.0,0.0,0.03177800509506495,400,547,0.030898198785299612,cosine_72000.csv,Cosine
9,0.0,0.0,0.06036033538174934,400,545,0.030898198785299612,cosine_72000.csv,Cosine
10,0.0,0.0,0.010550009272026222,400,544,0.030898198785299612,cosine_72000.csv,Cosine
11,0.0,0.0,0.03466479290586195,400,544,0.030898198785299612,cosine_72000.csv,Cosine
12,0.0,0.013473140083146493,0.003403861907313028,400,545,0.030898198785299612,cosine_72000.csv,Cosine
13,0.0,0.0,0.029596786409412046,400,547,0.030898198785299612,cosine_72000.csv,Cosine
14,0.0,0.00029040092904127567,0.00012964409729925093,400,543,0.030898198785299612,cosine_72000.csv,Cosine
15,0.0,0.0,0.028971681707062928,400,543,0.030898198785299612,cosine_72000.csv,Cosine
