baseline,mean_delta,median_delta,nonharm,rows,variant,weight,wins,worst_delta
pure_mpl,-34.004133442483294,-30.263005720340075,15,15,smooth_plus_step,0.05,15,-14.361199070991438
first_error,-0.49156260002072505,-0.38024426402264444,13,15,smooth_plus_step,0.05,13,0.7819942903316335
pure_mpl,-34.31251154927806,-31.01751957683233,15,15,smooth_plus_step,0.1,15,-13.648096919644637
first_error,-0.9556833632559232,-0.7477967025936505,13,15,smooth_plus_step,0.1,13,1.621191665421362
pure_mpl,-34.60755481531792,-31.77033541053139,15,15,smooth_plus_step,0.15,15,-12.836675408894237
first_error,-1.401514603398567,-1.1153491411673655,13,15,smooth_plus_step,0.15,13,2.5760938496694807
pure_mpl,-34.886781210717,-32.27844519349051,15,15,smooth_plus_step,0.2,15,-11.968251739534496
first_error,-1.8226754009191004,-1.4541348027337309,13,15,smooth_plus_step,0.2,13,3.59807767402911
pure_mpl,-35.14985732009734,-32.388219725790435,15,15,smooth_plus_step,0.25,15,-11.018231687665203
first_error,-2.2209743860524265,-1.7465456732436935,13,15,smooth_plus_step,0.25,13,4.71608626831761
pure_mpl,-35.40194608887274,-32.49799425809135,15,15,smooth_plus_step,0.3,15,-10.01971135409766
first_error,-2.6035461869136385,-2.0304398520030853,13,15,smooth_plus_step,0.3,13,5.891171270264373
pure_mpl,-35.63036111364116,-32.585761304076364,15,15,smooth_plus_step,0.35,15,-8.913319592980361
first_error,-2.952831271353099,-2.2779790553819845,12,15,smooth_plus_step,0.35,12,7.19320220650117
pure_mpl,-35.83482482754358,-32.63752282496315,15,15,smooth_plus_step,0.4,15,-7.702251145478989
first_error,-3.2679211081518407,-2.4925159615213133,12,15,smooth_plus_step,0.4,12,8.618419421563095
pure_mpl,-36.02592019099293,-32.646533669417856,15,15,smooth_plus_step,0.45,15,-6.452856750800285
first_error,-3.563157729428334,-2.69107438009093,12,15,smooth_plus_step,0.45,12,10.088739619708598
pure_mpl,-36.20335829850037,-32.61442487550232,15,15,smooth_plus_step,0.5,15,-5.203462356113786
