base_mae,coef,corr_mae,delta_pct,denominator,group,lambda,locality,locality_factor,response_rule,scale,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,win
0.003761619732988638,0.0038574239902562798,0.003761619732988638,0.0,0.023413441262264873,extra_control,20.0,linear,0.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_24000.csv,Constant 24k,0
0.0015795124507172926,0.0038574239902562798,0.0015795124507172926,0.0,0.023413441262264873,extra_control,20.0,linear,0.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_72000.csv,Constant 72k,0
0.0037480705220761528,0.005455944904481114,0.0036740137665238043,-1.97586345070494,0.023413441262264873,core_wsd,20.0,linear,0.8168498168498168,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.005455944904481114,0.0031909383240158644,-1.7663138856043648,0.023413441262264873,core_wsd,20.0,linear,0.8168498168498168,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.005455944904481114,0.005156167148955357,-9.052679458268031,0.023413441262264873,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.005455944904481114,0.0047851672232181374,-3.028725129301635,0.023413441262264873,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.005455944904481114,0.0013278513086206196,-3.8931348601281335,0.023413441262264873,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_18.csv,WSD-con 18e-5,1
0.0032781062167547585,0.005455944904481114,0.0032781062167547585,0.0,0.023413441262264873,extra_control,20.0,linear,0.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,cosine_24000.csv,Cosine 24k,0
0.001848699219840022,0.005455944904481114,0.001848699219840022,0.0,0.023413441262264873,extra_control,20.0,linear,0.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_24000.csv,Constant 24k,0
0.004776169698442608,0.005455944904481114,0.004776169698442608,0.0,0.023413441262264873,extra_control,20.0,linear,0.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_72000.csv,Constant 72k,0
0.004701998914275349,0.007680428517723182,0.004596967111202676,-2.2337691902436285,0.023414032104357954,core_wsd,20.0,linear,0.8168498168498168,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.007680428517723182,0.0037725167107941562,-2.1029842888354966,0.023414032104357954,core_wsd,20.0,linear,0.8168498168498168,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.007680428517723182,0.007479546312566843,-8.491483441966462,0.023414032104357954,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.007680428517723182,0.006517403101587791,-2.5406774213205474,0.023414032104357954,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.007680428517723182,0.002515795153463243,-1.6481546401265867,0.023414032104357954,core_wsd,20.0,linear,0.9998554913294798,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsdcon_18.csv,WSD-con 18e-5,1
0.007134640765897494,0.007680428517723182,0.007134640765897494,0.0,0.023414032104357954,extra_control,20.0,linear,0.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,cosine_24000.csv,Cosine 24k,0
0.001679822173746335,0.007680428517723182,0.001679822173746335,0.0,0.023414032104357954,extra_control,20.0,linear,0.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,constant_24000.csv,Constant 24k,0
0.004118245803084534,0.007680428517723182,0.004118245803084534,0.0,0.023414032104357954,extra_control,20.0,linear,0.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,constant_72000.csv,Constant 72k,0
0.003408385839825258,0.03208308197767467,0.0028180534501401782,-17.319998891772915,0.0030469413165982065,core_wsd,18.05070782708191,none,1.0,fixed_lambda_obs,25,ridge_tau_0p05,9.775526804158425e-05,0.1697216607782859,0.023386776532865874,0.018987430013762012,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.03208308197767467,0.0026840104757880332,-14.41553822576389,0.0030469413165982065,core_wsd,18.05070782708191,none,1.0,fixed_lambda_obs,25,ridge_tau_0p05,9.775526804158425e-05,0.1697216607782859,0.023386776532865874,0.018987430013762012,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.03208308197767467,0.0024916514542324044,-44.471868508846704,0.0030469413165982065,core_wsd,18.05070782708191,none,1.0,fixed_lambda_obs,25,ridge_tau_0p05,9.775526804158425e-05,0.1697216607782859,0.023386776532865874,0.018987430013762012,wsdcon_3.csv,WSD-con 3e-5,1
