estimator,kappa,scale,selected_bic,selected_edf,selected_gcv,selected_lambda,selected_retention,train_curve,train_label
residual_bic,0.0071446238693975,100,-1341.253927762733,11.673071361800691,3.153104764270906e-08,3e-05,0.20695105928428273,wsdcon_9.csv,WSD-con 9e-5
residual_bic,0.013798685783484992,400,-1180.5744580298447,10.142567273093759,1.4255999707871593e-07,0.0001,0.22675287401466016,wsdcon_9.csv,WSD-con 9e-5
residual_bic,0.011992544099044145,25,-1198.7904478323735,10.142567273093759,2.6847191995827397e-08,0.0001,0.354256629561272,wsdcon_18.csv,WSD-con 18e-5
residual_bic,0.008536442904361369,100,-1431.4503910287517,10.142567273093759,1.426984941707596e-08,0.0001,0.4014748122679908,wsdcon_18.csv,WSD-con 18e-5
residual_bic,0.015023001616702565,400,-1278.3206063656078,10.142567273093759,5.814903528843478e-08,0.0001,0.4014748122679908,wsdcon_18.csv,WSD-con 18e-5
retention_r0p33,0.03547437759453337,25,-6412.428306418683,1.5783074590557857,1.4351343783044013e-08,1.0,0.08793437475917601,cosine_72000.csv,Cosine
retention_r0p33,0.10920541019809932,100,-6141.460631753828,1.5783074590557857,2.3573456952317798e-08,1.0,0.08793437475917601,cosine_72000.csv,Cosine
retention_r0p33,0.18833815242061375,400,-5676.720481633073,1.5783074590557857,5.521826630045532e-08,1.0,0.08804367423169535,cosine_72000.csv,Cosine
retention_r0p33,0.019041807629994783,25,-2073.13309370357,2.4748639120482867,2.8421043484816494e-08,0.1,0.3272566109840368,wsd_20000_24000.csv,WSD sharp
retention_r0p33,0.03579806329103005,100,-1979.3119895771674,2.4748639120482867,5.2531916938119644e-08,0.1,0.3296803925188679,wsd_20000_24000.csv,WSD sharp
retention_r0p33,0.0627081906060416,400,-1786.007658134678,2.4748639120482867,1.6269147460142503e-07,0.1,0.3268235808223908,wsd_20000_24000.csv,WSD sharp
retention_r0p33,0.020385590385565575,25,-2108.952035234498,2.845108334028387,2.2866431034535736e-08,0.05,0.31559135264797944,wsdld_20000_24000.csv,WSD linear
retention_r0p33,0.03502728722787451,100,-2058.9176959053575,2.845108334028387,3.2758309816599123e-08,0.05,0.31807465983717303,wsdld_20000_24000.csv,WSD linear
retention_r0p33,0.060742193328563655,400,-1863.2746031891602,2.845108334028387,1.0284966079777634e-07,0.05,0.31657412831579684,wsdld_20000_24000.csv,WSD linear
retention_r0p33,0.012985254923919156,25,-997.851111154169,2.4748639120482867,2.703864332475614e-07,0.1,0.3317262300206231,wsdcon_3.csv,WSD-con 3e-5
retention_r0p33,0.01770841459394697,100,-1095.3349772525205,2.6569585523142942,3.716578062914356e-07,0.07,0.3351628111076044,wsdcon_3.csv,WSD-con 3e-5
retention_r0p33,0.02706205379122559,400,-996.5921656065223,2.6569585523142942,9.195375769383883e-07,0.07,0.3351628111076044,wsdcon_3.csv,WSD-con 3e-5
retention_r0p33,0.0072593888256848385,25,-1172.186212531177,6.578796767903626,3.881313351038386e-08,0.001,0.29744897963509137,wsdcon_9.csv,WSD-con 9e-5
retention_r0p33,0.010602347386117948,100,-1316.9616403142863,6.578796767903626,4.430327694910665e-08,0.001,0.33350511347360406,wsdcon_9.csv,WSD-con 9e-5
retention_r0p33,0.019012478127177775,400,-1165.1057687296097,6.578796767903626,1.7843631875345702e-07,0.001,0.33350511347360406,wsdcon_9.csv,WSD-con 9e-5
retention_r0p33,0.011512756177302314,25,-1198.7568527667077,11.673071361800691,2.5882082911893244e-08,3e-05,0.3221796094370723,wsdcon_18.csv,WSD-con 18e-5
retention_r0p33,0.007834785171594489,100,-1423.786021019651,13.0,1.4355622939134618e-08,0.0,0.36440162615434657,wsdcon_18.csv,WSD-con 18e-5
retention_r0p33,0.013574333565153885,400,-1270.6449960854527,13.0,5.850459156276928e-08,0.0,0.36440162615434657,wsdcon_18.csv,WSD-con 18e-5
gcv_retention_band,0.0,25,-6996.442315404617,12.462728714189002,4.522068592579079e-09,1e-05,0.0006044032258447541,cosine_72000.csv,Cosine
gcv_retention_band,0.0002731173334316882,100,-7983.174189418295,11.673071361800693,7.46713002211882e-10,3e-05,0.0006975185840362473,cosine_72000.csv,Cosine
gcv_retention_band,0.0004589584721192618,400,-7003.369425771077,12.824834877290694,4.452476605905006e-09,3e-06,0.0005898087609119701,cosine_72000.csv,Cosine
gcv_retention_band,0.017879455946043742,25,-2087.579894914388,2.845108334028387,2.5929684027220962e-08,0.05,0.2568270289918194,wsd_20000_24000.csv,WSD sharp
gcv_retention_band,0.03137164362225788,100,-2013.5858386178124,2.845108334028387,4.270240515156891e-08,0.05,0.2590915431895968,wsd_20000_24000.csv,WSD sharp
gcv_retention_band,0.05508359834171374,400,-1819.693873870109,2.845108334028387,1.327047033588632e-07,0.05,0.25649821639304765,wsd_20000_24000.csv,WSD sharp
gcv_retention_band,0.019081358240657664,25,-2120.9481405202105,3.163029067292201,2.1185300628184347e-08,0.03,0.2620594752766248,wsdld_20000_24000.csv,WSD linear
gcv_retention_band,0.0315569101707096,100,-2084.1053636064185,3.1630290672922015,2.8108890638349773e-08,0.03,0.26445304000684167,wsdld_20000_24000.csv,WSD linear
gcv_retention_band,0.05472703970037038,400,-1888.253726003895,3.1630290672922015,8.835980159842923e-08,0.03,0.2630792979321305,wsdld_20000_24000.csv,WSD linear
gcv_retention_band,0.010529174745097914,25,-1028.6242852331761,3.1630290672922015,1.9207141333783466e-07,0.03,0.2542931230303947,wsdcon_3.csv,WSD-con 3e-5
gcv_retention_band,0.014993631424790942,100,-1122.991752442207,3.2864511803832452,2.8401369670620226e-07,0.025,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5
gcv_retention_band,0.023005007876755135,400,-1021.1094489212281,3.2864511803832452,7.232265332928855e-07,0.025,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5
gcv_retention_band,0.0072593888256848385,25,-1172.186212531177,6.578796767903626,3.881313351038386e-08,0.001,0.29744897963509137,wsdcon_9.csv,WSD-con 9e-5
gcv_retention_band,0.008858660318336185,100,-1332.4537128683753,8.402825905995478,3.6831840542689546e-08,0.0003,0.26714055819909815,wsdcon_9.csv,WSD-con 9e-5
gcv_retention_band,0.015871327889653012,400,-1175.916727738472,8.402825905995478,1.5485385990556952e-07,0.0003,0.26714055819909815,wsdcon_9.csv,WSD-con 9e-5
gcv_retention_band,0.011346790061561049,25,-1197.0353522045402,12.462728714189003,2.5864282495659676e-08,1e-05,0.3135670552641128,wsdcon_18.csv,WSD-con 18e-5
gcv_retention_band,0.00800482433687246,100,-1428.64766411993,11.673071361800691,1.41426535014268e-08,3e-05,0.3727910562487066,wsdcon_18.csv,WSD-con 18e-5
gcv_retention_band,0.013925575429742657,400,-1275.5360947543538,11.673071361800691,5.762108726290247e-08,3e-05,0.3727910562487066,wsdcon_18.csv,WSD-con 18e-5
