config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
60722,12,-29.904633013941783,0.04617766537556589,0.026749654928173754,0.5237196356200525,-27.77444564767476,15,0.04,0.25,0.35,0.05,15,7.0,20.0,15,-4.157606500160238
60848,16,-29.90461377466195,0.04617750382363874,0.026749157724258486,0.5236647887020268,-27.77401041537194,15,0.04,0.25,0.35,0.05,15,7.0,20.0,15,-4.1579415385267655
35270,8,-29.84288235764516,0.034583243251767634,0.02220864395474713,0.5050267730742137,-21.766898784743017,15,0.03,0.25,0.35,0.05,15,4.0,20.0,15,-6.191503992600089
35396,12,-29.842087282309024,0.03458307333721777,0.022199002425559104,0.5045922690852699,-21.75942575813441,15,0.03,0.25,0.35,0.05,15,4.0,20.0,15,-6.1925549341587445
35522,16,-29.841912938011117,0.034582858796148565,0.022198417559106565,0.5045212965250775,-21.75888598683462,15,0.03,0.25,0.35,0.05,15,4.0,20.0,15,-6.192597666620325
60217,8,-29.83996249495188,0.042204122276196694,0.02494839370276718,0.5031994960443446,-24.531576776379215,15,0.03,0.25,0.2,0.05,15,7.0,20.0,15,-5.7996030229133355
60343,12,-29.838432038180212,0.042203736181147894,0.024937488413225458,0.5027576309353261,-24.521813984135132,15,0.03,0.25,0.2,0.05,15,7.0,20.0,15,-5.79687958105305
60469,16,-29.8383083823363,0.04220345628073615,0.02493682570367398,0.5026845255638791,-24.521090718055703,15,0.03,0.25,0.2,0.05,15,7.0,20.0,15,-5.796768842855881
59081,8,-29.780391160444278,0.04718589867359275,0.020642615901717388,0.456343264080668,-26.018589338780075,15,0.015,0.0,0.75,0.05,15,7.0,20.0,15,-4.798179459098117
11333,16,-29.776295640002047,0.03435619405867847,0.0230926128368784,0.546816278389047,-22.15150066409897,15,0.05,0.25,0.75,0.05,15,2.0,20.0,15,-6.169718018809212
11207,12,-29.77628971875503,0.03435626914412953,0.023092929355250653,0.5468581394829484,-22.15148992885394,15,0.05,0.25,0.75,0.05,15,2.0,20.0,15,-6.169767001911353
11081,8,-29.776163575404105,0.0343562469462479,0.023098193648357187,0.5471152382567782,-22.15134603639607,15,0.05,0.25,0.75,0.05,15,2.0,20.0,15,-6.170949836770556
59207,12,-29.75091722530363,0.04719374471118782,0.020620934028663163,0.45546476997885227,-25.97702178752167,15,0.015,0.0,0.75,0.05,15,7.0,20.0,15,-4.785724608246644
59333,16,-29.749027218472566,0.0471932655233698,0.02061961043858928,0.45531874975747144,-25.973915111507072,15,0.015,0.0,0.75,0.05,15,7.0,20.0,15,-4.785149952727597
40564,8,-29.71598420051912,0.05049643791862825,0.03150763058784203,0.6124827069376649,-37.57750521323647,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.5743608990341875
40690,12,-29.714978663554053,0.05049649721812837,0.03150293748336916,0.6122919550268947,-37.5760726844671,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.5739035244513135
40816,16,-29.7149292279048,0.050496436629949244,0.03150266039825504,0.6122599033538468,-37.5759631342522,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.5738864146243583
60598,8,-29.689689583027437,0.04155978905128047,0.026757846048468384,0.5240515289483985,-25.00222856794729,15,0.04,0.25,0.5,0.05,15,7.0,20.0,15,-6.14035873473272
60724,12,-29.68926640412567,0.041559898838009285,0.026749654928173754,0.5237196356200525,-24.997001082907268,15,0.04,0.25,0.5,0.05,15,7.0,20.0,15,-6.138676894938988
60850,16,-29.689223390913835,0.04155975344127487,0.026749157724258486,0.5236647887020268,-24.996609373834787,15,0.04,0.25,0.5,0.05,15,7.0,20.0,15,-6.138607877636093
34512,8,-29.686071850469585,0.0348847458270768,0.01995953145829766,0.4765868637972404,-20.003876730552484,15,0.02,0.25,0.0,0.05,15,4.0,20.0,15,-6.3334042764145
34638,12,-29.67708693938371,0.03488330495189555,0.019945111937311372,0.4759370384309893,-19.98835272983558,15,0.02,0.25,0.0,0.05,15,4.0,20.0,15,-6.335454503305671
34764,16,-29.676354388052932,0.034882794776278245,0.019944235243290646,0.47583064894638843,-19.987193614042376,15,0.02,0.25,0.0,0.05,15,4.0,20.0,15,-6.3355371317071585
88943,8,-29.602607297639885,0.05880135407899874,0.0292220861306386,0.5395838392521125,-32.684813910209755,15,0.025,0.0,0.75,0.05,15,10.0,30.0,15,-0.9259943789594938
89069,12,-29.593925197018475,0.05880628150199623,0.029206307075210013,0.5390383850175674,-32.66999933164577,15,0.025,0.0,0.75,0.05,15,10.0,30.0,15,-0.9260019997605728
