base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
40816,500,8000,16,-32.189545568679684,0.04522626574892356,0.02976399306699009,0.6122599033538468,-38.4331648162166,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.9225499835623707
36280,189,12000,16,-32.17195784449625,0.035825391950961356,0.022260517612055657,0.5428919853183819,-36.260959699882065,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-5.549165797224487
36154,181,12000,12,-32.1719330779206,0.035825412529410045,0.022260734496773696,0.5429345910734116,-36.26083614317136,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-5.549178968387968
36028,173,12000,8,-32.17166413458789,0.035825849919428866,0.022264316488146026,0.5431959145327,-36.25982927903024,15,0.05,0.25,0.5,0.05,15,4.0,20.0,15,-5.549358365230772
40564,483,5000,8,-32.12416385873526,0.04735727628519047,0.03067631731602415,0.6124827069376649,-36.46731814792172,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.923841558066818
40690,491,5000,12,-32.12399341132315,0.04735644360063338,0.030672232624589076,0.6122919550268947,-36.4657109924606,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.9238410863967261
40816,499,5000,16,-32.12397879429026,0.04735638890208739,0.030671991733179853,0.6122599033538468,-36.46550463886879,15,0.07,0.25,0.5,0.05,15,4.0,30.0,15,-0.9238410257543683
10953,764,8000,16,-32.0826202790064,0.032467901492695024,0.020244359050666186,0.5295845112279992,-36.86900690144016,15,0.04,0.25,0.4,0.05,15,2.0,20.0,15,-5.56452196566497
10827,756,8000,12,-32.082542971731456,0.03246791053447527,0.02024465759781862,0.5296368273522087,-36.86863112537865,15,0.04,0.25,0.4,0.05,15,2.0,20.0,15,-5.564551049085342
10701,748,8000,8,-32.082337288975374,0.03246943169920098,0.02024962621406203,0.529957914697898,-36.86769481052278,15,0.04,0.25,0.4,0.05,15,2.0,20.0,15,-5.564753729298788
35902,18,3000,16,-32.0793831045177,0.03734319073532521,0.023584230145408874,0.5258091386717108,-34.34727330490305,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.118518438851817
35776,10,3000,12,-32.07931839013821,0.03734332965938343,0.023584650902780318,0.5258623854471114,-34.34747368456148,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.118532673373345
35650,2,3000,8,-32.077578196027055,0.03734379519692402,0.023591600332567006,0.5261887482191262,-34.34860844625971,15,0.04,0.25,0.5,0.05,15,4.0,20.0,15,-6.118433147556946
10952,1029,12000,16,-32.053440355437374,0.030885959432106886,0.019021826791821506,0.5295845112279992,-36.44556287660181,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-5.1736901235168276
10826,1021,12000,12,-32.05342347858596,0.030886005170193565,0.01902207075957703,0.5296368273522087,-36.44545886183542,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-5.173708873938931
10700,1013,12000,8,-32.053186838848795,0.030886809869535493,0.019026121044477626,0.529957914697898,-36.44419434037409,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-5.173965702084993
10573,858,3000,16,-32.020060417027544,0.03415551047025122,0.02009715267616344,0.5080559730308664,-30.70689655287049,15,0.03,0.25,0.2,0.05,15,2.0,20.0,15,-6.163530578685239
10447,850,3000,12,-32.020051323474675,0.03415577181670401,0.02009765812179021,0.5081257051119942,-30.707294342943314,15,0.03,0.25,0.2,0.05,15,2.0,20.0,15,-6.163555762952511
10321,842,3000,8,-32.01858784847605,0.034157394034071246,0.020106056165109885,0.5085531872366228,-30.710413353936005,15,0.03,0.25,0.2,0.05,15,2.0,20.0,15,-6.163416034714187
10952,1027,5000,16,-32.00414041378704,0.03525826890193952,0.021092894099429816,0.5295845112279992,-36.3561346448081,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-6.100262541776691
10826,1019,5000,12,-32.00406264625893,0.03525839180092311,0.021093238532691894,0.5296368273522087,-36.356057122300015,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-6.10003609034867
