base_mae,coef,corr_mae,delta_pct,fit_objective,group,lambda,localization,residualized_corr,scale,test_curve,test_label,variant,win
0.001848699219840022,0.05859491356579989,0.001848699219840022,0.0,0.00022332260065526254,extra_control,7.220283130832764,0.0,0.02257232913752262,100,constant_24000.csv,Constant 24k,strict_exact_localized,0
0.004776169698442608,0.05859491356579989,0.004776169698442608,0.0,0.00022332260065526254,extra_control,7.220283130832764,0.0,0.02257232913752262,100,constant_72000.csv,Constant 72k,strict_exact_localized,0
0.004701998914275349,0.08289385228415976,0.0020922418339266668,-55.50314085410388,0.0003021919567663921,core_wsd,7.227208795627145,0.8168498168498168,0.03825753165591623,400,wsd_20000_24000.csv,WSD sharp,strict_exact_localized,1
0.0038535563963712593,0.08289924449189241,0.001979283891321006,-48.637474381202296,0.0003021805970902943,core_wsd,7.222991414077641,0.8168498168498168,0.0382605757107608,400,wsdld_20000_24000.csv,WSD linear,strict_exact_localized,1
0.008173606778800102,0.06381815428261355,0.003639494078654335,-55.47260619272636,0.00031925201568877765,core_wsd,18.05070782708191,0.9998554913294798,0.029093201914880976,400,wsdcon_3.csv,WSD-con 3e-5,strict_exact_localized,1
0.006687305974578527,0.06381815428261355,0.005914864514275386,-11.550861636054055,0.00031925201568877765,core_wsd,18.05070782708191,0.9998554913294798,0.029093201914880976,400,wsdcon_9.csv,WSD-con 9e-5,strict_exact_localized,1
0.0025579541942073844,0.06381815428261355,0.0023932438570457735,-6.4391433409795145,0.00031925201568877765,core_wsd,18.05070782708191,0.9998554913294798,0.029093201914880976,400,wsdcon_18.csv,WSD-con 18e-5,strict_exact_localized,1
0.007134640765897494,0.08290170979424194,0.007134640765897494,0.0,0.00030217539847214033,extra_control,7.221062086481109,0.0,0.03826196787374511,400,cosine_24000.csv,Cosine 24k,strict_exact_localized,0
0.001679822173746335,0.08290270488454092,0.001679822173746335,0.0,0.00030217329921958534,extra_control,7.220283130832764,0.0,0.03826252988048882,400,constant_24000.csv,Constant 24k,strict_exact_localized,0
0.004118245803084534,0.08290270488454092,0.004118245803084534,0.0,0.00030217329921958534,extra_control,7.220283130832764,0.0,0.03826252988048882,400,constant_72000.csv,Constant 72k,strict_exact_localized,0
0.003408385839825258,0.04192488930132332,0.002164240085198101,-36.502491592646145,0.00019525660972547775,core_wsd,7.2284552974545955,1.0,0.012521132641154203,25,wsd_20000_24000.csv,WSD sharp,rounded_fast20,1
0.0031360955249893426,0.041928432867079216,0.002074773419968444,-33.842148511228956,0.00019525307908984947,core_wsd,7.223478858982098,1.0,0.012522491777237214,25,wsdld_20000_24000.csv,WSD linear,rounded_fast20,1
0.004487187642230267,0.030435154786451212,0.001925827099706994,-57.08164549254731,0.00020003250335340456,core_wsd,20.0,1.0,0.008927808936397877,25,wsdcon_3.csv,WSD-con 3e-5,rounded_fast20,1
0.002926482771138891,0.030435154786451212,0.0023405053646304817,-20.023265207208652,0.00020003250335340456,core_wsd,20.0,1.0,0.008927808936397877,25,wsdcon_9.csv,WSD-con 9e-5,rounded_fast20,1
0.002504818961791151,0.030435154786451212,0.002193292470898778,-12.437086098613914,0.00020003250335340456,core_wsd,20.0,1.0,0.008927808936397877,25,wsdcon_18.csv,WSD-con 18e-5,rounded_fast20,1
0.004428106847791531,0.041930053082818906,0.005420510962215321,22.41147624788551,0.00019525146316299677,extra_control,7.221202285244404,1.0,0.012523113463991056,25,cosine_24000.csv,Cosine 24k,rounded_fast20,0
0.003761619732988638,0.04193070708296342,0.003761619732988638,0.0,0.0001952508106050036,extra_control,7.220283130832764,1.0,0.012523364452831073,25,constant_24000.csv,Constant 24k,rounded_fast20,0
0.0015795124507172926,0.04193070708296342,0.0015795124507172926,0.0,0.0001952508106050036,extra_control,7.220283130832764,1.0,0.012523364452831073,25,constant_72000.csv,Constant 72k,rounded_fast20,0
0.0037480705220761528,0.05858811366379673,0.0015636411792666284,-58.28143654030055,0.00022333325796017458,core_wsd,7.2284552974545955,1.0,0.02256933115352629,100,wsd_20000_24000.csv,WSD sharp,rounded_fast20,1
0.003248313740665229,0.05859225603181786,0.001622157668636889,-50.06154583132465,0.0002233267693321672,core_wsd,7.223478858982098,1.0,0.02257115723354141,100,wsdld_20000_24000.csv,WSD linear,rounded_fast20,1
0.0056693997340904675,0.04304751774595571,0.003322186323631867,-41.40144495976627,0.00023252901193713,core_wsd,20.0,1.0,0.016485038893276804,100,wsdcon_3.csv,WSD-con 3e-5,rounded_fast20,1
