center,config_id,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
0.4,554,signed,0.03,-33.437427082315544,0.01876430798774432,0.05428206316391111,0.04235018920951523,-40.477293275340145,13,15,1,0.0,0.1,13,9.732808949671746
0.4,555,signed,0.03,-31.764099153963045,0.01876430798774432,0.07328078527128,0.04235018920951523,-40.477293275340145,12,15,0,0.0,0.1,12,16.588143705291113
0.4,556,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.1,15,-10.801466736917275
0.4,557,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.1,15,-10.801466736917275
0.4,558,signed,0.1,-37.10858327603039,0.018712282322756027,0.008602770840050032,0.04099290580499563,-40.477293275340145,15,15,1,0.0,0.1,15,-7.5470775262848395
0.4,559,signed,0.1,-36.931424597583536,0.018712282322756027,0.011613740634067544,0.04099290580499563,-40.477293275340145,15,15,0,0.0,0.1,15,-6.460604947243443
0.4,560,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.1,15,-10.801466736917275
0.4,561,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.1,15,-10.801466736917275
0.4,562,signed,0.001,-28.661664736710403,0.018875537763898873,0.18701052967132886,0.04320643991456704,-40.477293275340145,12,15,1,1.0,0.1,12,27.65696328409286
0.4,563,signed,0.001,-25.13118455954581,0.018875537763898873,0.25246421505629396,0.04320643991456704,-40.477293275340145,12,15,0,1.0,0.1,12,48.30471084932819
0.4,564,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.1,15,-10.801466736917275
