estimator,train_curve,train_label,test_curve,test_label,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,max_kappa
smooth_weight_cap_0p03,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.004175825072231736,-31.656614705330576,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p03,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.0043335674804843285,-10.638341083291692,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p03,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0019258551040573675,-10.347695232654964,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p03,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,0.006774363885652582,0.006529920315590495,-3.608361968564955,3,3,0.024382289002072437,0.03
smooth_weight_cap_0p03,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.003194518493518842,-19.183778516165006,3,3,0.024382289002072437,0.03
smooth_weight_cap_0p03,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0028665929424522246,-16.00109717837247,3,3,0.024382289002072437,0.03
smooth_weight_cap_0p03,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.0048035882412226566,-21.382367247637212,2,3,0.024382289002072437,0.03
smooth_weight_cap_0p03,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.004608220720824191,-4.9747696045624785,2,3,0.024382289002072437,0.03
smooth_weight_cap_0p03,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0018548977656961177,-13.650897488546432,3,3,0.024382289002072437,0.03
susceptibility_prior,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0.006774363885652582,0.006754231069920204,-0.29719123554933224,3,3,0.0020483976372803483,0.002608659412447494
susceptibility_prior,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0038890274236180965,-1.613810575370056,3,3,0.0020483976372803483,0.002608659412447494
susceptibility_prior,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0033667821146513093,-1.3442057007707509,3,3,0.0020483976372803483,0.002608659412447494
susceptibility_prior,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.005827060122625012,-4.631777383594249,3,3,0.0020483976372803483,0.002608659412447494
