config_id,extra_center,extra_tau,extra_time_power,extra_width,mean_delta,median_delta,nonharm,rows,shrink_gates,target_mean_delta,target_worst_delta,wins,worst_delta
309,0.15,0.1,0.0,0.15,-37.88236391011014,-40.477293275340145,15,15,1,-17.553195371104987,-11.813702667740422,15,-11.813702667740422
476,0.2,0.03,2.0,0.1,-37.882246991325,-40.477293275340145,15,15,0,-17.552610777179286,-11.813686603255679,15,-11.813686603255679
438,0.2,0.1,1.0,0.08,-37.88220882892719,-40.477293275340145,15,15,0,-17.552419965190268,-11.788909786245426,15,-11.788909786245426
924,0.4,0.01,2.0,0.03,-37.8820388842515,-40.477293275340145,15,15,0,-17.551570241811817,-11.757474367295362,15,-11.757474367295362
416,0.2,0.03,2.0,0.05,-37.88199053423065,-40.477293275340145,15,15,0,-17.551328491707565,-11.788277270157376,15,-11.788277270157376
1166,0.5,0.03,2.0,0.08,-37.88189895169387,-40.477293275340145,15,15,0,-17.550870579023652,-11.747356084350692,15,-11.747356084350692
809,0.3,0.1,2.0,0.08,-37.881799212009234,-40.477293275340145,15,15,1,-17.550371880600473,-11.782972248868283,15,-11.782972248868283
1148,0.5,0.1,0.0,0.08,-37.881651064106464,-40.477293275340145,15,15,0,-17.549631141086646,-11.750865194421623,15,-11.750865194421623
386,0.2,0.03,2.0,0.03,-37.88132001467667,-40.477293275340145,15,15,0,-17.54797589393762,-11.785166063146047,15,-11.785166063146047
1115,0.5,0.01,0.0,0.05,-37.881263779122065,-40.477293275340145,15,15,1,-17.547694716164628,-11.810883360047676,15,-11.810883360047676
118,0.1,0.1,2.0,0.1,-37.88118999780548,-40.477293275340145,15,15,0,-17.547325809581718,-11.780368752083547,15,-11.780368752083547
906,0.4,0.03,0.0,0.03,-37.881165601582374,-40.477293275340145,15,15,0,-17.54720382846619,-11.75563957950656,15,-11.75563957950656
506,0.2,0.03,2.0,0.15,-37.88105133346367,-40.477293275340145,15,15,0,-17.546632487872596,-11.738356772749036,15,-11.738356772749036
376,0.2,0.03,1.0,0.03,-37.88097378289682,-40.477293275340145,15,15,0,-17.546244735038375,-11.781964404193012,15,-11.781964404193012
