adiabatic_factor,amplitude_scale,base_mae,corr_mae,delta_pct,effective_tau_steps,fitted_residual_params,group,nonharm,scale,test_curve,test_label,uses_target_loss,win
0.9998554913294798,0.5,0.006687305974578527,0.006407905769104463,-4.178068216650943,130.0,0,core_wsd,1,400,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,0.5,0.0025579541942073844,0.002399705317490483,-6.186540676735497,130.0,0,core_wsd,1,400,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,0.5,0.007134640765897494,0.007134640765897494,0.0,256.0,0,extra_control,1,400,cosine_24000.csv,Cosine 24k,0,0
0.0,0.5,0.001679822173746335,0.001679822173746335,0.0,128.0,0,extra_control,1,400,constant_24000.csv,Constant 24k,0,0
0.0,0.5,0.004118245803084534,0.004118245803084534,0.0,128.0,0,extra_control,1,400,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.75,0.003408385839825258,0.002926391775424209,-14.141417288183533,256.0,0,core_wsd,1,25,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,0.75,0.0031360955249893426,0.002679192056442113,-14.569182121733427,256.0,0,core_wsd,1,25,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,0.75,0.004487187642230267,0.004040794923660813,-9.948162505359004,130.0,0,core_wsd,1,25,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,0.75,0.002926482771138891,0.002644558028493521,-9.63356919185463,130.0,0,core_wsd,1,25,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,0.75,0.002504818961791151,0.002297745097289919,-8.267019200188308,130.0,0,core_wsd,1,25,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,0.75,0.004428106847791531,0.004428106847791531,0.0,256.0,0,extra_control,1,25,cosine_24000.csv,Cosine 24k,0,0
0.0,0.75,0.003761619732988638,0.003761619732988638,0.0,128.0,0,extra_control,1,25,constant_24000.csv,Constant 24k,0,0
0.0,0.75,0.0015795124507172926,0.0015795124507172926,0.0,128.0,0,extra_control,1,25,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.75,0.0037480705220761528,0.003148291407858495,-16.002343357334293,256.0,0,core_wsd,1,100,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,0.75,0.003248313740665229,0.0026915234219879345,-17.14090334646271,256.0,0,core_wsd,1,100,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,0.75,0.0056693997340904675,0.005198397546249025,-8.307796414658785,130.0,0,core_wsd,1,100,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,0.75,0.004934623402238123,0.004622413806076566,-6.326918403133918,130.0,0,core_wsd,1,100,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,0.75,0.0013816404339982303,0.001238934244761138,-10.328750210655402,130.0,0,core_wsd,1,100,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,0.75,0.0032781062167547585,0.0032781062167547585,0.0,256.0,0,extra_control,1,100,cosine_24000.csv,Cosine 24k,0,0
0.0,0.75,0.001848699219840022,0.001848699219840022,0.0,128.0,0,extra_control,1,100,constant_24000.csv,Constant 24k,0,0
0.0,0.75,0.004776169698442608,0.004776169698442608,0.0,128.0,0,extra_control,1,100,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,0.75,0.004701998914275349,0.00399849302137501,-14.961847200017065,256.0,0,core_wsd,1,400,wsd_20000_24000.csv,WSD sharp,0,1
