base_config_id,config_id,fit_start_step,max_mode,mean_delta,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1565,3510,12000,8,-31.104818373075098,-27.060598805306658,15,0.02,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-7.723344362032547
1579,1750,5000,12,-31.10468113773288,-28.204325728910263,15,0.02,0.0,0.75,0.0,0.05,15,7.0,20.0,15,-15.364166972830562
1563,1850,5000,8,-31.102683687628264,-28.217869151031927,15,0.02,0.0,0.75,0.0,0.05,15,7.0,20.0,15,-15.361300280467127
434,410,3000,8,-31.034781788455135,-28.191263668201582,15,0.015,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-2.748072348509689
1563,1871,5000,8,-31.030387115139433,-27.578337210244662,15,0.02,0.0,1.0,0.2,0.05,15,7.0,20.0,15,-13.859311154838016
1579,1771,5000,12,-31.02636592551647,-27.57573109643302,15,0.02,0.0,1.0,0.2,0.05,15,7.0,20.0,15,-13.855793009042227
466,210,3000,12,-31.02621243365359,-28.17935575917704,15,0.015,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-2.7399750377188226
474,310,3000,16,-31.02545787482851,-28.178468712624436,15,0.015,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-2.739071033579421
1300,1000,8000,8,-31.024661158478754,-28.30876034589014,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.164289722604924
100,6200,8000,8,-31.024661158478754,-28.30876034589014,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.164289722604924
28,13900,8000,8,-31.024661158478754,-28.30876034589014,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.164289722604924
1316,900,8000,12,-31.021701126109054,-28.31059904019143,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.162847744991366
108,6100,8000,12,-31.021701126109054,-28.31059904019143,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.162847744991366
36,13800,8000,12,-31.021701126109054,-28.31059904019143,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.162847744991366
1308,800,8000,16,-31.021580946054844,-28.31028184833112,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.162864708022457
116,6000,8000,16,-31.021580946054844,-28.31028184833112,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.162864708022457
44,13600,8000,16,-31.021580946054844,-28.31028184833112,15,0.04,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.162864708022457
435,5440,5000,8,-31.01341769101994,-27.016346611524323,15,0.015,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-13.62962885939657
467,5540,5000,12,-31.003708859301167,-26.990806006491084,15,0.015,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-13.623369833362474
475,5640,5000,16,-31.00297467423392,-26.98958759194323,15,0.015,0.0,0.6,0.0,0.05,15,7.0,20.0,15,-13.623415678697748
1277,2720,12000,8,-30.98178283126048,-26.351537600749143,15,0.05,0.25,0.35,0.0,0.05,15,2.0,20.0,15,-10.661217212570751
1285,2620,12000,12,-30.98102132705251,-26.34991946483004,15,0.05,0.25,0.35,0.0,0.05,15,2.0,20.0,15,-10.660376808251792
1293,2520,12000,16,-30.98099187491347,-26.349828246786732,15,0.05,0.25,0.35,0.0,0.05,15,2.0,20.0,15,-10.660356257564285
171,7120,5000,8,-30.97276847849205,-27.313923135464936,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-12.819321259801375
1227,10720,5000,8,-30.97276847849205,-27.313923135464936,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-12.819321259801375
179,7020,5000,12,-30.972075051464937,-27.313266422502313,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-12.818249831221362
1243,10620,5000,12,-30.972075051464937,-27.313266422502313,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-12.818249831221362
187,6920,5000,16,-30.972031136581656,-27.313234408821586,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-12.81823676170446
1235,10520,5000,16,-30.972031136581656,-27.313234408821586,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-12.81823676170446
171,7101,5000,8,-30.945092647182666,-24.20310620641092,15,0.05,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-10.68276771650114
1227,10701,5000,8,-30.945092647182666,-24.20310620641092,15,0.05,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-10.68276771650114
179,7001,5000,12,-30.942647455039882,-24.19880170390396,15,0.05,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-10.681874859350938
1243,10601,5000,12,-30.942647455039882,-24.19880170390396,15,0.05,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-10.681874859350938
