cosine_to_wsd_mean,feature,method,nuisance,offdiag_mean_delta,offdiag_tests,offdiag_wins,offdiag_worst_delta,probe_to_wsd_mean,probe_to_wsd_worst,self_mean_delta,self_tests,self_wins,self_worst_delta,target_mode,tau_mode,train_retention_power
-4.2016091679174865,S10_current,S10_current__dct2__none__R1p0__Tdrop_linear,dct2,-10.093963344613032,90,90,-0.9878482359520824,-9.703194067807658,-4.626919483069969,-10.619339775092412,18,18,-0.48113618347432885,drop_linear,none,1.0
-2.290646162622515,S10_current,S10_current__dct2__eb_q75__R1p0__Tdrop_linear,dct2,-9.734396604706147,90,90,-0.6233409605326479,-9.696301304132701,-4.626442883232851,-10.543690850358578,18,18,-0.2620070010173392,drop_linear,eb_q75,1.0
-2.4436570262854023,step_tau512,step_tau512__dct2__none__R1p0__Tnone,dct2,-7.571478483178195,90,85,0.0,-10.401301171324526,-7.428934843292656,-9.116717888492278,18,17,0.0,none,none,1.0
-2.4436570262854023,step_tau512,step_tau512__dct2__none__R1p0__Tgate_0p01,dct2,-7.252755723632288,90,70,0.0,-10.401301171324526,-7.428934843292656,-9.036075474052513,18,15,0.0,gate_0p01,none,1.0
-2.4436570262854023,step_tau512,step_tau512__dct2__none__R1p0__Tgate_0p03,dct2,-7.252755723632288,90,70,0.0,-10.401301171324526,-7.428934843292656,-9.036075474052513,18,15,0.0,gate_0p03,none,1.0
-2.4436570262854023,step_tau512,step_tau512__dct2__none__R1p0__Tgate_0p05,dct2,-7.252755723632288,90,70,0.0,-10.401301171324526,-7.428934843292656,-9.036075474052513,18,15,0.0,gate_0p05,none,1.0
-0.28477840356551837,step_tau512,step_tau512__dct2__eb_q75__R1p0__Tnone,dct2,-7.195025190653762,90,85,0.0,-10.377968713714413,-7.41798174931877,-8.904658821324208,18,17,0.0,none,eb_q75,1.0
-0.28477840356551837,step_tau512,step_tau512__dct2__eb_q75__R1p0__Tgate_0p01,dct2,-6.88119886798085,90,70,0.0,-10.377968713714413,-7.41798174931877,-8.895226272799333,18,15,0.0,gate_0p01,eb_q75,1.0
-0.28477840356551837,step_tau512,step_tau512__dct2__eb_q75__R1p0__Tgate_0p03,dct2,-6.88119886798085,90,70,0.0,-10.377968713714413,-7.41798174931877,-8.895226272799333,18,15,0.0,gate_0p03,eb_q75,1.0
-0.28477840356551837,step_tau512,step_tau512__dct2__eb_q75__R1p0__Tgate_0p05,dct2,-6.88119886798085,90,70,0.0,-10.377968713714413,-7.41798174931877,-8.895226272799333,18,15,0.0,gate_0p05,eb_q75,1.0
-2.4435788535342193,step_tau512,step_tau512__dct2__none__R1p0__Tdrop_sqrt,dct2,-7.192991633920829,90,85,0.0,-10.400472667391632,-7.428006168391699,-8.48731810431365,18,17,0.0,drop_sqrt,none,1.0
-0.13516070734613436,step_tau1024,step_tau1024__fourier2__none__R1p0__Tdrop_sqrt,fourier2,-5.05392713443497,90,80,0.0,-11.750214133095056,-6.150343544344805,-5.808054804344199,18,16,0.0,drop_sqrt,none,1.0
-0.2847692934854133,step_tau512,step_tau512__dct2__eb_q75__R1p0__Tdrop_sqrt,dct2,-6.828919278832897,90,85,0.0,-10.377142066726513,-7.417054443639859,-8.27518776214778,18,17,0.0,drop_sqrt,eb_q75,1.0
-0.0001619581333415591,step_tau1024,step_tau1024__fourier2__eb_q75__R1p0__Tdrop_sqrt,fourier2,-5.005091064714219,90,80,0.0,-11.722201694916626,-6.140428738893656,-5.779845953904347,18,16,0.0,drop_sqrt,eb_q75,1.0
-2.443500683283828,step_tau512,step_tau512__dct2__none__R1p0__Tdrop_linear,dct2,-6.756047626081726,90,85,0.0,-10.399644251937293,-7.427077609582056,-7.958228417827546,18,17,0.0,drop_linear,none,1.0
-0.13515638354613113,step_tau1024,step_tau1024__fourier2__none__R1p0__Tdrop_linear,fourier2,-4.891458278388228,90,80,0.0,-11.749292997640085,-6.149574703345717,-5.515931231039093,18,16,0.0,drop_linear,none,1.0
-0.00016195295229707676,step_tau1024,step_tau1024__fourier2__eb_q75__R1p0__Tdrop_linear,fourier2,-4.845584278174518,90,80,0.0,-11.721282754244376,-6.139661137323438,-5.488453495460573,18,16,0.0,drop_linear,eb_q75,1.0
-0.2847601836966677,step_tau512,step_tau512__dct2__eb_q75__R1p0__Tdrop_linear,dct2,-6.403943873336117,90,85,0.0,-10.376315508018784,-7.416127253881677,-7.7480284283882845,18,17,0.0,drop_linear,eb_q75,1.0
-0.1083883745304844,step_tau768,step_tau768__fourier2__none__R1p0__Tnone,fourier2,-5.260866965116379,90,80,0.0,-11.063959913371557,-6.186239930924775,-6.166901873946774,18,16,0.0,none,none,1.0
-0.002149061655372838,step_tau512,step_tau512__fourier2__eb_q75__R0p5__Tnone,fourier2,-5.956983767686122,90,80,0.0,-10.516720925725968,-6.643393771674189,-7.064238913944779,18,16,0.0,none,eb_q75,0.5
-0.1083883745304844,step_tau768,step_tau768__fourier2__none__R1p0__Tgate_0p01,fourier2,-5.013227621210325,90,65,0.0,-11.063959913371557,-6.186239930924775,-6.164086096688009,18,15,0.0,gate_0p01,none,1.0
-0.1083883745304844,step_tau768,step_tau768__fourier2__none__R1p0__Tgate_0p03,fourier2,-5.013227621210325,90,65,0.0,-11.063959913371557,-6.186239930924775,-6.164086096688009,18,15,0.0,gate_0p03,none,1.0
-0.1083883745304844,step_tau768,step_tau768__fourier2__none__R1p0__Tgate_0p05,fourier2,-5.013227621210325,90,65,0.0,-11.063959913371557,-6.186239930924775,-6.164086096688009,18,15,0.0,gate_0p05,none,1.0
-3.797748768056645e-05,step_tau768,step_tau768__fourier2__eb_q75__R1p0__Tnone,fourier2,-5.209678027099122,90,80,0.0,-11.034788614033372,-6.175685556939303,-6.133881714763237,18,16,0.0,none,eb_q75,1.0
-0.002149061655372838,step_tau512,step_tau512__fourier2__eb_q75__R0p5__Tgate_0p01,fourier2,-5.698430015565838,90,65,0.0,-10.516720925725968,-6.643393771674189,-7.064185286387928,18,15,0.0,gate_0p01,eb_q75,0.5
-0.002149061655372838,step_tau512,step_tau512__fourier2__eb_q75__R0p5__Tgate_0p03,fourier2,-5.698430015565838,90,65,0.0,-10.516720925725968,-6.643393771674189,-7.064185286387928,18,15,0.0,gate_0p03,eb_q75,0.5
-0.002149061655372838,step_tau512,step_tau512__fourier2__eb_q75__R0p5__Tgate_0p05,fourier2,-5.698430015565838,90,65,0.0,-10.516720925725968,-6.643393771674189,-7.064185286387928,18,15,0.0,gate_0p05,eb_q75,0.5
-3.797748768056645e-05,step_tau768,step_tau768__fourier2__eb_q75__R1p0__Tgate_0p01,fourier2,-4.963373000565446,90,65,0.0,-11.034788614033372,-6.175685556939303,-6.133880728161609,18,15,0.0,gate_0p01,eb_q75,1.0
-3.797748768056645e-05,step_tau768,step_tau768__fourier2__eb_q75__R1p0__Tgate_0p03,fourier2,-4.963373000565446,90,65,0.0,-11.034788614033372,-6.175685556939303,-6.133880728161609,18,15,0.0,gate_0p03,eb_q75,1.0
-3.797748768056645e-05,step_tau768,step_tau768__fourier2__eb_q75__R1p0__Tgate_0p05,fourier2,-4.963373000565446,90,65,0.0,-11.034788614033372,-6.175685556939303,-6.133880728161609,18,15,0.0,gate_0p05,eb_q75,1.0
-0.10838490717916353,step_tau768,step_tau768__fourier2__none__R1p0__Tdrop_sqrt,fourier2,-5.049567715499632,90,80,0.0,-11.063085976953232,-6.1854666025973,-5.695588502201812,18,16,0.0,drop_sqrt,none,1.0
-3.797627281162027e-05,step_tau768,step_tau768__fourier2__eb_q75__R1p0__Tdrop_sqrt,fourier2,-5.0013836261010205,90,80,0.0,-11.03391698029889,-6.17491354799099,-5.662932152723351,18,16,0.0,drop_sqrt,eb_q75,1.0
-2.3455320892719587,step_tau768,step_tau768__dct2__eb_q75__R0p5__Tsqrt_retention_drop_sqrt,dct2,-7.78072816401596,90,85,0.0,-8.769111277296982,-5.755590405127197,-9.783663819097775,18,17,0.0,sqrt_retention_drop_sqrt,eb_q75,0.5
-0.0021489929067771327,step_tau512,step_tau512__fourier2__eb_q75__R0p5__Tdrop_sqrt,fourier2,-5.636784505499967,90,80,0.0,-10.515883681184079,-6.642563295544523,-6.467143027926062,18,16,0.0,drop_sqrt,eb_q75,0.5
-0.10838143993877243,step_tau768,step_tau768__fourier2__none__R1p0__Tdrop_linear,fourier2,-4.813381141076032,90,80,0.0,-11.062212133496367,-6.184693370942174,-5.314313185389144,18,16,0.0,drop_linear,none,1.0
