feature,group_id,mean_delta,method,nuisance,target_group,target_mode,tau_mode,tests,train_retention_power,wins,worst_delta
S10_current,probe,-15.374911001370972,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,probe,drop_sqrt,eb_q75,9,0.5,9,-4.730475615493401
S10_current,probe,-2.4354574312282273,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,cosine,drop_sqrt,eb_q75,3,0.5,3,-1.8002796067703053
S10_current,probe3,-11.701729753326042,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,wsd,drop_sqrt,eb_q75,6,0.5,6,-8.279462163190065
S10_current,probe3,-15.181410537855518,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,probe,drop_sqrt,eb_q75,9,0.5,9,-4.623303023767722
S10_current,probe3,-2.391339897601837,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,cosine,drop_sqrt,eb_q75,3,0.5,3,-1.7674458576844465
S10_current,wsd,-28.450903629361424,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,wsd,drop_sqrt,eb_q75,6,0.5,6,-17.233227039812917
S10_current,wsd,-6.638601846867705,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,probe,drop_sqrt,eb_q75,9,0.5,5,5.295723426343346
S10_current,wsd,-5.674791031898238,S10_current__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,cosine,drop_sqrt,eb_q75,3,0.5,3,-3.678837483123931
S10_current,cosine,-13.651992471110157,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,wsd,gate_0p01,eb_q75,6,0.5,6,-7.964073895779389
S10_current,cosine,-16.81838685034567,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,probe,gate_0p01,eb_q75,9,0.5,9,-5.197414250140886
S10_current,cosine,-2.7925949665775813,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,cosine,gate_0p01,eb_q75,3,0.5,3,-1.6999062891861816
S10_current,probe,-11.922155539883542,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,wsd,gate_0p01,eb_q75,6,0.5,6,-8.434323654319243
S10_current,probe,-16.451662206893015,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,probe,gate_0p01,eb_q75,9,0.5,9,-5.619596763473355
S10_current,probe,-2.435457431833717,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,cosine,gate_0p01,eb_q75,3,0.5,3,-1.8002796072255078
S10_current,probe3,-11.702599610944374,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,wsd,gate_0p01,eb_q75,6,0.5,6,-8.280497290050626
S10_current,probe3,-16.252692522053902,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,probe,gate_0p01,eb_q75,9,0.5,9,-5.620736330192855
S10_current,probe3,-2.3913398981985448,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,cosine,gate_0p01,eb_q75,3,0.5,3,-1.7674458581312114
S10_current,wsd,-28.452986099726484,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,wsd,gate_0p01,eb_q75,6,0.5,6,-17.235381597180965
S10_current,wsd,-2.284696274949956,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,probe,gate_0p01,eb_q75,9,0.5,3,10.701735940094315
S10_current,wsd,-5.6747910332564215,S10_current__dct2__eb_q75__R0p5__Tgate_0p01,dct2,cosine,gate_0p01,eb_q75,3,0.5,3,-3.6788374840544202
S10_current,cosine,-13.651992471110157,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,wsd,gate_0p03,eb_q75,6,0.5,6,-7.964073895779389
S10_current,cosine,-16.81838685034567,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,probe,gate_0p03,eb_q75,9,0.5,9,-5.197414250140886
S10_current,cosine,0.0,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,cosine,gate_0p03,eb_q75,3,0.5,0,0.0
S10_current,probe,-11.922155539883542,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,wsd,gate_0p03,eb_q75,6,0.5,6,-8.434323654319243
S10_current,probe,-16.451662206893015,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,probe,gate_0p03,eb_q75,9,0.5,9,-5.619596763473355
S10_current,probe,0.0,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,cosine,gate_0p03,eb_q75,3,0.5,0,0.0
S10_current,probe3,-11.702599610944374,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,wsd,gate_0p03,eb_q75,6,0.5,6,-8.280497290050626
S10_current,probe3,-16.252692522053902,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,probe,gate_0p03,eb_q75,9,0.5,9,-5.620736330192855
S10_current,probe3,0.0,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,cosine,gate_0p03,eb_q75,3,0.5,0,0.0
S10_current,wsd,-28.452986099726484,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,wsd,gate_0p03,eb_q75,6,0.5,6,-17.235381597180965
S10_current,wsd,-2.284696274949956,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,probe,gate_0p03,eb_q75,9,0.5,3,10.701735940094315
S10_current,wsd,0.0,S10_current__dct2__eb_q75__R0p5__Tgate_0p03,dct2,cosine,gate_0p03,eb_q75,3,0.5,0,0.0
S10_current,cosine,-13.651992471110157,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,wsd,gate_0p05,eb_q75,6,0.5,6,-7.964073895779389
S10_current,cosine,-16.81838685034567,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,probe,gate_0p05,eb_q75,9,0.5,9,-5.197414250140886
S10_current,cosine,0.0,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,cosine,gate_0p05,eb_q75,3,0.5,0,0.0
S10_current,probe,-11.922155539883542,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,wsd,gate_0p05,eb_q75,6,0.5,6,-8.434323654319243
S10_current,probe,-16.451662206893015,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,probe,gate_0p05,eb_q75,9,0.5,9,-5.619596763473355
S10_current,probe,0.0,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,cosine,gate_0p05,eb_q75,3,0.5,0,0.0
S10_current,probe3,-11.702599610944374,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,wsd,gate_0p05,eb_q75,6,0.5,6,-8.280497290050626
S10_current,probe3,-16.252692522053902,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,probe,gate_0p05,eb_q75,9,0.5,9,-5.620736330192855
S10_current,probe3,0.0,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,cosine,gate_0p05,eb_q75,3,0.5,0,0.0
S10_current,wsd,-28.452986099726484,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,wsd,gate_0p05,eb_q75,6,0.5,6,-17.235381597180965
S10_current,wsd,-2.284696274949956,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,probe,gate_0p05,eb_q75,9,0.5,3,10.701735940094315
S10_current,wsd,0.0,S10_current__dct2__eb_q75__R0p5__Tgate_0p05,dct2,cosine,gate_0p05,eb_q75,3,0.5,0,0.0
S10_current,cosine,-13.651992471110157,S10_current__dct2__eb_q75__R0p5__Tnone,dct2,wsd,none,eb_q75,6,0.5,6,-7.964073895779389
S10_current,cosine,-16.81838685034567,S10_current__dct2__eb_q75__R0p5__Tnone,dct2,probe,none,eb_q75,9,0.5,9,-5.197414250140886
S10_current,cosine,-2.7925949665775813,S10_current__dct2__eb_q75__R0p5__Tnone,dct2,cosine,none,eb_q75,3,0.5,3,-1.6999062891861816
S10_current,probe,-11.922155539883542,S10_current__dct2__eb_q75__R0p5__Tnone,dct2,wsd,none,eb_q75,6,0.5,6,-8.434323654319243
S10_current,probe,-16.451662206893015,S10_current__dct2__eb_q75__R0p5__Tnone,dct2,probe,none,eb_q75,9,0.5,9,-5.619596763473355
S10_current,probe,-2.435457431833717,S10_current__dct2__eb_q75__R0p5__Tnone,dct2,cosine,none,eb_q75,3,0.5,3,-1.8002796072255078
