base_locality,base_mae,coef,corr_mae,delta_pct,group,lambda,locality,power,scale,test_curve,test_label,win
0.9998554913294798,0.002926482771138891,0.030435154786451212,0.0023403196771616046,-20.02961028023311,core_wsd,20.0,0.9995665366336893,3.0,25,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.002504818961791151,0.030435154786451212,0.002193331820932307,-12.43551512545661,core_wsd,20.0,0.9995665366336893,3.0,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.004428106847791531,0.041930053082818906,0.004428106847791531,0.0,extra_control,7.221202285244404,0.0,3.0,25,cosine_24000.csv,Cosine 24k,0
0.0,0.003761619732988638,0.04193070708296342,0.003761619732988638,0.0,extra_control,7.220283130832764,0.0,3.0,25,constant_24000.csv,Constant 24k,0
0.0,0.0015795124507172926,0.04193070708296342,0.0015795124507172926,0.0,extra_control,7.220283130832764,0.0,3.0,25,constant_72000.csv,Constant 72k,0
0.8168498168498168,0.0037480705220761528,0.05858811366379673,0.002469043480633202,-34.124945993131014,core_wsd,7.2284552974545955,0.5450378314766673,3.0,100,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.003248313740665229,0.05859225603181786,0.0023488892186217542,-27.68896707185925,core_wsd,7.223478858982098,0.5450378314766673,3.0,100,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.0056693997340904675,0.04304751774595571,0.0033201186961077825,-41.43791491463031,core_wsd,20.0,0.9995665366336893,3.0,100,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.004934623402238123,0.04304751774595571,0.00467268155145255,-5.308244002303564,core_wsd,20.0,0.9995665366336893,3.0,100,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.0013816404339982303,0.04304751774595571,0.001264753419450686,-8.460016924178559,core_wsd,20.0,0.9995665366336893,3.0,100,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0032781062167547585,0.05859414941329983,0.0032781062167547585,0.0,extra_control,7.221202285244404,0.0,3.0,100,cosine_24000.csv,Cosine 24k,0
0.0,0.001848699219840022,0.05859491356579989,0.001848699219840022,0.0,extra_control,7.220283130832764,0.0,3.0,100,constant_24000.csv,Constant 24k,0
0.0,0.004776169698442608,0.05859491356579989,0.004776169698442608,0.0,extra_control,7.220283130832764,0.0,3.0,100,constant_72000.csv,Constant 72k,0
0.8168498168498168,0.004701998914275349,0.08289225770142289,0.0028846900902570354,-38.64970743614876,core_wsd,7.2284552974545955,0.5450378314766673,3.0,400,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.0038535563963712593,0.08289862148646569,0.002570639477430159,-33.29176446331944,core_wsd,7.223478858982098,0.5450378314766673,3.0,400,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.008173606778800102,0.06055693382186499,0.0032083355682460913,-60.74761540318336,core_wsd,20.0,0.9995665366336893,3.0,400,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.006687305974578527,0.06055693382186499,0.0057638788518541,-13.808656673326913,core_wsd,20.0,0.9995665366336893,3.0,400,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.0025579541942073844,0.06055693382186499,0.002393560453822332,-6.426766388441607,core_wsd,20.0,0.9995665366336893,3.0,400,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.007134640765897494,0.08290153067889618,0.007134640765897494,0.0,extra_control,7.221202285244404,0.0,3.0,400,cosine_24000.csv,Cosine 24k,0
0.0,0.001679822173746335,0.08290270488454092,0.001679822173746335,0.0,extra_control,7.220283130832764,0.0,3.0,400,constant_24000.csv,Constant 24k,0
0.0,0.004118245803084534,0.08290270488454092,0.004118245803084534,0.0,extra_control,7.220283130832764,0.0,3.0,400,constant_72000.csv,Constant 72k,0
