fit_start,group,mean_base_vs_official_baseline,mean_corr_vs_official_baseline,mean_delta_vs_own_baseline,nonharm_vs_own_baseline,protocol,rows,shrinkage,tangent_group,wins_vs_own_baseline,worst_corr_vs_official_baseline,worst_delta_vs_own_baseline
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,ld4,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,55.04527052230417,0.0,15,cosine_only,15,full_energy,none,0,106.80840626460855,0.0
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,full_energy,none,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,55.04527052230417,0.0,15,cosine_only,15,orth_ols,none,0,106.80840626460855,0.0
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,orth_ols,none,0,490.27031703608924,0.0
8000,core_wsd,55.04527052230417,55.04527052230417,0.0,15,cosine_only,15,sqrt_retention,none,0,106.80840626460855,0.0
8000,extra_control,79.78274516207723,79.78274516207723,0.0,9,cosine_only,9,sqrt_retention,none,0,490.27031703608924,0.0
2160,core_wsd,0.0,-0.6002425432873274,-0.6002425432873274,15,frozen_official,15,full_energy,all7,5,0.0,0.0
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,all7,0,0.0,0.0
2160,core_wsd,0.0,2.142619309087451,2.142619309087451,10,frozen_official,15,orth_ols,all7,0,20.027310646161855,20.027310646161855
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,all7,0,0.0,0.0
2160,core_wsd,0.0,-3.511687073159201,-3.511687073159201,15,frozen_official,15,sqrt_retention,all7,5,0.0,0.0
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,all7,0,0.0,0.0
2160,core_wsd,0.0,0.0,0.0,15,frozen_official,15,full_energy,ld4,0,0.0,0.0
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,ld4,0,0.0,0.0
