feature_retention,fit_start,kappa,orth_ols_kappa,orthogonal_alignment,protocol,raw_cosine_alignment,scale,shrinkage,tangent_dim,tangent_group
0.526092771265966,5000,0.0,0.0,-3.306294974777022,cosine_only,-0.8935652359934781,25,full_energy,1,ld4
0.0007822844300808611,5000,45.421835267231785,45.421835267231785,45.421835267231785,cosine_only,-0.34841790430304415,100,orth_ols,4,ld4
0.0007822844300808611,5000,1.2704191194468961,45.421835267231785,45.421835267231785,cosine_only,-0.34841790430304415,100,sqrt_retention,4,ld4
0.0007822844300808611,5000,0.03553279451525317,45.421835267231785,45.421835267231785,cosine_only,-0.34841790430304415,100,full_energy,4,ld4
0.0023241584480111275,5000,13.903722327978695,13.903722327978695,13.903722327978695,cosine_only,0.004422982676059077,400,orth_ols,4,ld4
0.0023241584480111275,5000,0.6702918704024619,13.903722327978695,13.903722327978695,cosine_only,0.004422982676059077,400,sqrt_retention,4,ld4
0.0023241584480111275,5000,0.032314453707372626,13.903722327978695,13.903722327978695,cosine_only,0.004422982676059077,400,full_energy,4,ld4
0.2457548872466017,5000,4.495333406570108,4.495333406570108,4.495333406570108,cosine_only,-0.8935652359934781,25,orth_ols,4,all7
0.2457548872466017,5000,2.2285018006031145,4.495333406570108,4.495333406570108,cosine_only,-0.8935652359934781,25,sqrt_retention,4,all7
0.2457548872466017,5000,1.1047501544675187,4.495333406570108,4.495333406570108,cosine_only,-0.8935652359934781,25,full_energy,4,all7
4.920479018307499e-06,5000,71.62983190694972,71.62983190694972,71.62983190694972,cosine_only,-0.34841790430304415,100,orth_ols,7,all7
4.920479018307499e-06,5000,0.15889038747646428,71.62983190694972,71.62983190694972,cosine_only,-0.34841790430304415,100,sqrt_retention,7,all7
4.920479018307499e-06,5000,0.00035245308498303913,71.62983190694972,71.62983190694972,cosine_only,-0.34841790430304415,100,full_energy,7,all7
1.8635391511659396e-05,5000,0.0,0.0,-189.3572963136243,cosine_only,0.004422982676059077,400,orth_ols,7,all7
1.8635391511659396e-05,5000,0.0,0.0,-189.3572963136243,cosine_only,0.004422982676059077,400,sqrt_retention,7,all7
1.8635391511659396e-05,5000,0.0,0.0,-189.3572963136243,cosine_only,0.004422982676059077,400,full_energy,7,all7
1.0,8000,0.0,0.0,-0.8425559062060172,cosine_only,-0.8425559062060172,25,orth_ols,0,none
1.0,8000,0.0,0.0,-0.8425559062060172,cosine_only,-0.8425559062060172,25,sqrt_retention,0,none
1.0,8000,0.0,0.0,-0.8425559062060172,cosine_only,-0.8425559062060172,25,full_energy,0,none
1.0,8000,0.0,0.0,-0.49231159637675526,cosine_only,-0.49231159637675526,100,orth_ols,0,none
1.0,8000,0.0,0.0,-0.49231159637675526,cosine_only,-0.49231159637675526,100,sqrt_retention,0,none
1.0,8000,0.0,0.0,-0.49231159637675526,cosine_only,-0.49231159637675526,100,full_energy,0,none
1.0,8000,0.0,0.0,-0.1317940435333917,cosine_only,-0.1317940435333917,400,orth_ols,0,none
1.0,8000,0.0,0.0,-0.1317940435333917,cosine_only,-0.1317940435333917,400,sqrt_retention,0,none
1.0,8000,0.0,0.0,-0.1317940435333917,cosine_only,-0.1317940435333917,400,full_energy,0,none
0.5184890844587021,8000,0.0,0.0,-3.4824336994071663,cosine_only,-0.8425559062060172,25,orth_ols,1,ld4
