base_mae,candidate,corr_mae,delta_pct,kappa,rho,scale,shrink,test_curve,test_label,train_id,train_label,train_size,win
0.004701998914275349,none,0.002696896417908533,-42.64361887195018,0.06508729347827592,0.0,400,1.0,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0025579541942073844,none,0.0028231075076254296,10.365835088779086,0.06508729347827592,0.0,400,1.0,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.008173606778800102,none,0.008867993133477664,8.495470524451854,0.06508729347827592,0.0,400,1.0,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0
0.006687305974578527,none,0.0075709478352190065,13.213719605467444,0.06508729347827592,0.0,400,1.0,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0038535563963712593,none,0.002394602003245419,-37.859946580765744,0.06508729347827592,0.0,400,1.0,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004701998914275349,constant_0p85,0.0029870019689996925,-36.47378437431996,0.05532419945653453,0.0,400,0.85,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0025579541942073844,constant_0p85,0.002649003473723286,3.559456995832333,0.05532419945653453,0.0,400,0.85,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.008173606778800102,constant_0p85,0.00701172272130291,-14.215071619432107,0.05532419945653453,0.0,400,0.85,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.006687305974578527,constant_0p85,0.00699514264084577,4.6032986592428715,0.05532419945653453,0.0,400,0.85,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0038535563963712593,constant_0p85,0.002611882781004883,-32.22149847179118,0.05532419945653453,0.0,400,0.85,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004701998914275349,train_size_rho0p25,0.0030868750432997806,-34.34972870946492,0.05206983478262074,0.25,400,0.8,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0025579541942073844,train_size_rho0p25,0.002590968795755906,1.2906642981834748,0.05206983478262074,0.25,400,0.8,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.008173606778800102,train_size_rho0p25,0.006460555231988665,-20.95833079778907,0.05206983478262074,0.25,400,0.8,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.006687305974578527,train_size_rho0p25,0.006818538513504157,1.9624126580195966,0.05206983478262074,0.25,400,0.8,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.0038535563963712593,train_size_rho0p25,0.0026849224054382006,-30.3261162087446,0.05206983478262074,0.25,400,0.8,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004701998914275349,train_size_rho0p35,0.00320524313135914,-31.83232940297014,0.04821280998390809,0.35,400,0.7407407407407407,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0025579541942073844,train_size_rho0p35,0.002524672911393788,-1.3010898666193316,0.04821280998390809,0.35,400,0.7407407407407407,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.008173606778800102,train_size_rho0p35,0.005896266968933984,-27.86211609509841,0.04821280998390809,0.35,400,0.7407407407407407,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.006687305974578527,train_size_rho0p35,0.006635209159487786,-0.7790403981631,0.04821280998390809,0.35,400,0.7407407407407407,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0038535563963712593,train_size_rho0p35,0.0027714878862480498,-28.079737230319257,0.04821280998390809,0.35,400,0.7407407407407407,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004701998914275349,train_size_rho0p5,0.003353203241433326,-28.68558026985196,0.04339152898551728,0.5,400,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0025579541942073844,train_size_rho0p5,0.0024667993743625787,-3.5635829621668114,0.04339152898551728,0.5,400,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.008173606778800102,train_size_rho0p5,0.005379034607788617,-34.19019591522034,0.04339152898551728,0.5,400,0.6666666666666666,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.006687305974578527,train_size_rho0p5,0.006407768601619105,-4.180119378746394,0.04339152898551728,0.5,400,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0038535563963712593,train_size_rho0p5,0.002879694737260368,-25.271763507287393,0.04339152898551728,0.5,400,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.004701998914275349,train_size_rho0p75,0.0035434376686715877,-24.63975995584239,0.03719273913044338,0.75,400,0.5714285714285714,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0025579541942073844,train_size_rho0p75,0.0024018700793455236,-6.101912036396939,0.03719273913044338,0.75,400,0.5714285714285714,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
