candidate,heldout_tests,max_kappa,mean_heldout,mean_kappa,mean_shrink,median_heldout,median_rho,train_id,train_label,train_size,wins,worst_heldout
none,6,0.04189007019973197,-21.124322177853486,0.027765331013506613,1.0,-22.681442971446863,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4,6,-2.5097381101356175
none,6,0.023990133594797736,-9.530262326534269,0.01636943601623479,1.0,-7.911303446095186,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4,6,-5.617841465934559
none,3,0.026763912869102766,-11.333450192500797,0.018457497892827416,1.0,-8.030247027108405,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,5,3,-5.441851774902007
none,3,0.026781184794631176,-9.160873639729276,0.018239150889654682,1.0,-9.210495729602474,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,5,3,-6.707862754859429
none,6,0.0328759685240166,-20.581439606577792,0.02147605478775985,1.0,-16.69598343898476,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,6,-6.853439406085515
none,3,0.03292896659090248,-32.09252621360663,0.021884038585000366,1.0,-36.609566752809016,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,5,3,-21.959806440171768
none,12,0.022707554475117322,-16.453265633043916,0.01690433150323976,1.0,-13.397455189922336,0.0,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2,12,-5.596793961519364
none,12,0.020299973392106804,-9.249383999824403,0.01397568484750016,1.0,-8.388902601718856,0.0,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2,12,-5.593768314794123
none,9,0.023540019284475352,-11.40538327776261,0.016560483216164906,1.0,-10.459942734132866,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3,9,-5.61665978310354
none,9,0.024089244031707525,-10.761426799191995,0.01662185756675827,1.0,-10.471997928859134,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3,9,-6.373599103224814
none,6,0.024142342637102188,-11.811041698708777,0.016752070952852787,1.0,-11.526227300338626,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-7.773818190168569
none,12,0.02330771109383796,-13.99724594049687,0.015204601428006581,1.0,-11.333964258823194,0.0,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2,12,-6.225502541072803
none,9,0.026994811854961626,-18.711381410056603,0.018398242212167362,1.0,-15.722112519934427,0.0,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3,9,-8.882226534733274
none,12,0.055207256473038306,-13.845511935615916,0.03542381568883523,1.0,-15.08423183587444,0.0,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2,9,5.552850605051862
none,9,0.029053966612638975,-19.84498597615275,0.020091256693999384,1.0,-19.30227994270748,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 18e-5,3,9,-5.466622060141058
none,9,0.02149430793857572,-9.70639923251914,0.014715316877107906,1.0,-8.141098400093616,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD linear + WSD-con 3e-5,3,9,-5.639380326848387
none,6,0.025181395237438266,-12.296652415197693,0.017547904292421625,1.0,-11.84611763960482,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.544459116558665
none,6,0.02547997006858034,-11.208935130460342,0.017475901350033792,1.0,-10.802640163377308,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,6,-6.554991569189883
none,3,0.025409833889923874,-13.436985474442443,0.017522391319731944,1.0,-13.150895527943373,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,5,3,-10.27879529815403
none,9,0.02632960703470733,-16.79634374714393,0.01714739651239834,1.0,-12.503897166640455,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 9e-5,3,9,-6.654809844990661
none,6,0.030451289172691975,-23.614001703583444,0.02048056268532001,1.0,-20.984614937928335,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,6,-12.144466878407012
none,15,0.04808967259435133,-13.467423665832174,0.03056465210273129,1.0,-11.699583465969532,0.0,wsd_20000_24000.csv,WSD sharp,1,14,0.13503777298313757
