kind,scale,train,test,n_train,lambda,kappa,train_delta_pct,test_base_mae,test_corr_mae,test_delta_pct,wins,tests,train_has_final_target,test_has_final_target
probe_to_final,100,wsdcon_3,wsd_20000_24000+wsdld_20000_24000,1,20.0,0.03344061548716119,-44.01482794479823,0.003498192131370691,0.003005093542048841,-14.095812088189675,2,2,False,True
probe_to_final,400,wsdcon_3,wsd_20000_24000+wsdld_20000_24000,1,20.0,0.05261910458803428,-54.43657846394584,0.004277777655323304,0.0035015961751976845,-18.144502652206164,2,2,False,True
probe_to_final,25,wsdcon_9,wsd_20000_24000+wsdld_20000_24000,1,14.0,0.018947213029419072,-25.922039219436634,0.0032722406824073,0.0028882599224002727,-11.734490133059005,2,2,False,True
probe_to_final,100,wsdcon_9,wsd_20000_24000+wsdld_20000_24000,1,20.0,0.023483954100053484,-9.133499251004928,0.003498192131370691,0.0031519094906435415,-9.898902853899738,2,2,False,True
probe_to_final,400,wsdcon_9,wsd_20000_24000+wsdld_20000_24000,1,14.0,0.0344028608648707,-11.125279595726855,0.004277777655323304,0.0035802764155776793,-16.305224253010163,2,2,False,True
probe_to_final,25,wsdcon_18,wsd_20000_24000+wsdld_20000_24000,1,2.0,0.017747528258869227,-45.74660109940708,0.0032722406824073,0.0021071439871650005,-35.60547063381564,2,2,False,True
probe_to_final,100,wsdcon_18,wsd_20000_24000+wsdld_20000_24000,1,14.0,0.020650067480350334,-13.109214547361702,0.003498192131370691,0.0030821489468065046,-11.893091315175097,2,2,False,True
probe_to_final,400,wsdcon_18,wsd_20000_24000+wsdld_20000_24000,1,10.0,0.025067531372228207,-6.506536851252676,0.004277777655323304,0.0036049429558967262,-15.728603813461328,2,2,False,True
probe_to_final,25,wsdcon_3+wsdcon_9,wsd_20000_24000+wsdld_20000_24000,2,20.0,0.024620940289705406,-41.43144166253781,0.0032722406824073,0.0029070570351518023,-11.160048501898157,2,2,False,True
probe_to_final,100,wsdcon_3+wsdcon_9,wsd_20000_24000+wsdld_20000_24000,2,20.0,0.03155713675932208,-27.642909020511542,0.003498192131370691,0.00303286637727288,-13.301892423944228,2,2,False,True
