mean_delta,median_delta,nonharm,pair_config_id,rows,smooth_config_id,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,step_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
-36.0321948017347,-40.477293275340145,15,9937,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.0321948017347,-40.477293275340145,15,10137,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.0321948017347,-40.477293275340145,15,10337,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.032077957027155,-40.47614276278092,15,9336,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
-36.032077957027155,-40.47614276278092,15,9536,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
-36.032077957027155,-40.47614276278092,15,9736,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
-36.03206655602466,-40.47600157834289,15,8736,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
-36.03206655602466,-40.47600157834289,15,8936,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
-36.03206655602466,-40.47600157834289,15,9136,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,4201,3000,20.0,16,0.03,0.25,0.2,0.05,15,-6.163530578685239
-36.0320431089989,-40.47614276278092,15,9337,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.0320431089989,-40.47614276278092,15,9537,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.0320431089989,-40.47614276278092,15,9737,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.0320317079964,-40.47600157834289,15,8737,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.0320317079964,-40.47600157834289,15,8937,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.0320317079964,-40.47600157834289,15,9137,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,4301,3000,20.0,12,0.03,0.25,0.2,0.05,15,-6.163555762952511
-36.03140942698428,-40.477293275340145,15,9938,15,2112,12000,4.0,8,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-36.03140942698428,-40.477293275340145,15,10138,15,2113,12000,4.0,8,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-36.03140942698428,-40.477293275340145,15,10338,15,2114,12000,4.0,8,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-36.03125773424849,-40.47614276278092,15,9338,15,2012,12000,4.0,12,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-36.03125773424849,-40.47614276278092,15,9538,15,2013,12000,4.0,12,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-36.03125773424849,-40.47614276278092,15,9738,15,2014,12000,4.0,12,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-36.031246333245996,-40.47600157834289,15,8738,15,1912,12000,4.0,16,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-36.031246333245996,-40.47600157834289,15,8938,15,1913,12000,4.0,16,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-36.031246333245996,-40.47600157834289,15,9138,15,1914,12000,4.0,16,0.05,0.25,0.2,0.05,4401,3000,20.0,8,0.03,0.25,0.2,0.05,15,-6.163416034714187
-35.99679086280489,-39.148021331309835,15,6617,15,1601,12000,4.0,8,0.04,0.25,0.0,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-35.99679086280489,-39.148021331309835,15,6618,15,1601,12000,4.0,8,0.04,0.25,0.0,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-35.99679086280489,-39.148021331309835,15,6619,15,1601,12000,4.0,8,0.04,0.25,0.0,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-35.99679086280489,-39.148021331309835,15,6817,15,1602,12000,4.0,8,0.04,0.25,0.0,0.05,335,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-35.99679086280489,-39.148021331309835,15,6818,15,1602,12000,4.0,8,0.04,0.25,0.0,0.05,345,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
-35.99679086280489,-39.148021331309835,15,6819,15,1602,12000,4.0,8,0.04,0.25,0.0,0.05,355,3000,20.0,16,0.015,0.0,0.75,0.05,15,-6.289566272098146
