config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_rho,wins,worst_delta
12386,14.0,signed_d2_lr,0.01,-36.19853483089431,0.0002717290320288191,0.04145309754882309,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-6.4056743811685575
11557,20.0,signed_d2_lr,0.003,-36.19555675809668,0.00023583702320634505,0.04072890672439741,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-6.41793950449151
11893,20.0,signed_d2_lr,0.003,-36.19547354592876,0.00023545923346707454,0.04072703401278457,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-6.417721342038806
11221,20.0,signed_d2_lr,0.003,-36.195236363006146,0.000237566020659723,0.04073717249678807,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-6.4158689611299335
11535,10.0,signed_d2_lr,0.03,-36.19291316654399,0.00018662402200872113,0.04072890533993588,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-6.3886924050180705
11871,10.0,signed_d2_lr,0.03,-36.19284903534109,0.00018652718127225095,0.04072703263046162,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-6.38859754816512
11199,10.0,signed_d2_lr,0.03,-36.19250514770615,0.00018705712144909733,0.04073717111570458,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-6.386048907126185
13047,10.0,signed_d2_lr,0.03,-36.19111652944659,0.0001380628359808927,0.041450138033463806,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.345038308998586
12711,10.0,signed_d2_lr,0.03,-36.1910775403279,0.00013811284555523777,0.041450958905870264,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.345072224075555
12375,10.0,signed_d2_lr,0.03,-36.189802343222325,0.00013833873347160618,0.041453094812062385,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-6.343494517238113
13059,14.0,signed_d2_lr,0.03,-36.18333605558345,3.0123880097119283e-05,0.04145013707337472,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.302621627876648
12723,14.0,signed_d2_lr,0.03,-36.1832944359467,3.0136536910411487e-05,0.041450957944812766,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.302640188559671
46705,4.0,signed_d2_lr,0.003,-36.1831983019432,0.003102444582122459,0.04087660770576061,-40.477293275340145,15,15,1,0,5000,20.0,12,0.01,0.2,15,-6.422082273919571
47041,4.0,signed_d2_lr,0.003,-36.182841714239544,0.0031007702545140276,0.04087457607447782,-40.477293275340145,15,15,1,0,5000,20.0,16,0.01,0.2,15,-6.421417549562037
46369,4.0,signed_d2_lr,0.003,-36.1828120295442,0.003120483963593138,0.04090416395443908,-40.477293275340145,15,15,1,0,5000,20.0,8,0.01,0.2,15,-6.426568651621023
11547,14.0,signed_d2_lr,0.03,-36.182603289008995,4.516603119803487e-05,0.04072890471685699,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-6.334322870351816
11883,14.0,signed_d2_lr,0.03,-36.1825441443777,4.5140563909488195e-05,0.04072703200902744,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-6.3342577843256365
11211,14.0,signed_d2_lr,0.03,-36.18217259740952,4.5279275840337806e-05,0.04073717047146587,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-6.331549477913412
12387,14.0,signed_d2_lr,0.03,-36.18200701925424,3.0192155893628134e-05,0.041453093839936304,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-6.300994974464203
13028,4.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13029,4.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13030,4.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13031,4.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13040,7.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13041,7.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13042,7.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13043,7.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13052,10.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13053,10.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13054,10.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13055,10.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13064,14.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13065,14.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13066,14.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13067,14.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13068,20.0,signed_d2_lr,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13069,20.0,signed_d2_lr,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13070,20.0,signed_d2_lr,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13071,20.0,signed_d2_lr,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13076,20.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13077,20.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13078,20.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13079,20.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13080,30.0,signed_d2_lr,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13081,30.0,signed_d2_lr,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13082,30.0,signed_d2_lr,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13083,30.0,signed_d2_lr,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13088,30.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13089,30.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13090,30.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13091,30.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13092,50.0,signed_d2_lr,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13093,50.0,signed_d2_lr,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13094,50.0,signed_d2_lr,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13095,50.0,signed_d2_lr,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13100,50.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13101,50.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13102,50.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
13103,50.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-6.289566272098146
12692,4.0,abs_diff_drop,0.001,-36.18123226227665,0.0,0.041450957482705476,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.289579347448537
12693,4.0,abs_diff_drop,0.003,-36.18123226227665,0.0,0.041450957482705476,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.289579347448537
12694,4.0,abs_diff_drop,0.01,-36.18123226227665,0.0,0.041450957482705476,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.289579347448537
12695,4.0,abs_diff_drop,0.03,-36.18123226227665,0.0,0.041450957482705476,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.289579347448537
12704,7.0,abs_diff_drop,0.001,-36.18123226227665,0.0,0.041450957482705476,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.289579347448537
12705,7.0,abs_diff_drop,0.003,-36.18123226227665,0.0,0.041450957482705476,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.289579347448537
12706,7.0,abs_diff_drop,0.01,-36.18123226227665,0.0,0.041450957482705476,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.289579347448537
12707,7.0,abs_diff_drop,0.03,-36.18123226227665,0.0,0.041450957482705476,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-6.289579347448537
