cap,estimator,max_kappa,mean_delta_pct,mean_kappa,tau_multiplier,test_curve,test_label,tests,train_curve,train_label,wins
0.03,tau_x_0p25_cap_0p03,0.03,-15.909588361881815,0.020713198189643126,0.25,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
0.03,tau_x_0p25_cap_0p03,0.03,-13.310462227183324,0.020713198189643126,0.25,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
0.03,tau_x_0p25_cap_0p03,0.03,-31.789212746963482,0.020713198189643126,0.25,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.03,tau_x_0p25_cap_0p03,0.03,-12.3007560449827,0.020713198189643126,0.25,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.03,tau_x_0p25_cap_0p03,0.03,-10.007273320971644,0.020713198189643126,0.25,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.03,tau_x_0p25_cap_0p03,0.02796843441764671,-3.23297434810255,0.022302906984179527,0.25,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p25_cap_0p03,0.02796843441764671,-17.568764594745733,0.022302906984179527,0.25,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p25_cap_0p03,0.02796843441764671,-14.548776250596413,0.022302906984179527,0.25,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p25_cap_0p03,0.02796843441764671,-29.506192327123774,0.022302906984179527,0.25,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p25_cap_0p03,0.02796843441764671,-9.901488025703523,0.022302906984179527,0.25,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p25_cap_0p03,0.02796843441764671,-12.170125273674914,0.022302906984179527,0.25,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
,tau_x_0p25_nocap,0.011554431677735327,-0.9995672581175433,0.006456129992717705,0.25,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
,tau_x_0p25_nocap,0.011554431677735327,-5.563948739422071,0.006456129992717705,0.25,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
,tau_x_0p25_nocap,0.011554431677735327,-4.504949134532946,0.006456129992717705,0.25,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
,tau_x_0p25_nocap,0.011554431677735327,-14.362080159119335,0.006456129992717705,0.25,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
,tau_x_0p25_nocap,0.011554431677735327,-6.496580675162925,0.006456129992717705,0.25,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
,tau_x_0p25_nocap,0.011554431677735327,-5.668150778408325,0.006456129992717705,0.25,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
,tau_x_0p25_nocap,0.0496311038173303,-4.422258651972148,0.031505932509060856,0.25,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p25_nocap,0.0496311038173303,-23.79405419399049,0.031505932509060856,0.25,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p25_nocap,0.0496311038173303,-20.06907217437075,0.031505932509060856,0.25,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p25_nocap,0.0496311038173303,-26.812764930277947,0.031505932509060856,0.25,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p25_nocap,0.0496311038173303,-8.14656984570391,0.031505932509060856,0.25,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,1
,tau_x_0p25_nocap,0.0496311038173303,-7.109605493683557,0.031505932509060856,0.25,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p25_nocap,0.05496346473109166,-4.984386292878484,0.035614554217193374,0.25,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
,tau_x_0p25_nocap,0.05496346473109166,-26.993172100292906,0.035614554217193374,0.25,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
,tau_x_0p25_nocap,0.05496346473109166,-22.74074752144752,0.035614554217193374,0.25,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
,tau_x_0p25_nocap,0.05496346473109166,-20.049210285689618,0.035614554217193374,0.25,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
,tau_x_0p25_nocap,0.05496346473109166,-3.2820149978063995,0.035614554217193374,0.25,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,1
