group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
main_matrix,-4.854695455043629,0.3316424750271636,retention_alpha_1p0,90,90,1,90,-0.0199051777532544
extra_holdout,0.012552464140553806,0.0018168082730806317,retention_alpha_1p0,36,54,1,0,0.1186126165591439
all,-3.0294774853495596,0.20795784999438255,retention_alpha_1p0,126,144,1,90,0.1186126165591439
main_matrix,-4.254695681253007,0.3048878438076873,retention_alpha_1p0,180,180,2,180,-0.01604592909379976
extra_holdout,0.010469654807957432,0.001605317900004568,retention_alpha_1p0,90,135,2,0,0.1267261554636523
all,-2.4267676800840223,0.1749096184186804,retention_alpha_1p0,270,315,2,180,0.1267261554636523
main_matrix,-4.486681861938367,0.3211641751986863,retention_alpha_1p0,180,180,3,180,-0.01775348008508093
extra_holdout,0.011180497908311018,0.001741068792828955,retention_alpha_1p0,120,180,3,0,0.1289343879225635
all,-2.237750682015028,0.1614526219957576,retention_alpha_1p0,300,360,3,180,0.1289343879225635
main_matrix,-4.994356052666456,0.3395727499409786,retention_alpha_1p0,90,90,4,90,-0.03091811800891575
extra_holdout,0.012414883094805117,0.0018792634150707466,retention_alpha_1p0,90,135,4,0,0.10684117929511405
all,-1.9902934912096992,0.13695665802543386,retention_alpha_1p0,180,225,4,90,0.10684117929511405
main_matrix,-5.053091351335155,0.3431650619108369,retention_alpha_1p0,18,18,5,18,-0.032493685829415586
extra_holdout,0.012526328570856478,0.0019070552413691562,retention_alpha_1p0,36,54,5,0,0.08589453316587559
all,-1.2538780914056464,0.0872215569087361,retention_alpha_1p0,54,72,5,18,0.08589453316587559
main_matrix,-3.2525080705570493,0.22770391157339734,retention_alpha_1p5,90,90,1,90,-0.002772105712611772
extra_holdout,0.0009267106757518509,0.0001341294907217073,retention_alpha_1p5,36,54,1,0,0.008756812751364862
all,-2.0324700275947496,0.14236524329239397,retention_alpha_1p5,126,144,1,90,0.008756812751364862
main_matrix,-2.8042180984231,0.20558648248724026,retention_alpha_1p5,180,180,2,180,-0.0019518915703398143
extra_holdout,0.0007448057033491532,0.00011232717282652857,retention_alpha_1p5,90,135,2,0,0.00958536210384775
all,-1.6020911395117645,0.11752613020963439,retention_alpha_1p5,270,315,2,180,0.00958536210384775
main_matrix,-2.9319381519519796,0.2178095674037296,retention_alpha_1p5,180,180,3,180,-0.0021596049638916703
extra_holdout,0.0008153514729791755,0.00012651852270200624,retention_alpha_1p5,120,180,3,0,0.009752389247141835
all,-1.4655614002395003,0.10896804296321577,retention_alpha_1p5,300,360,3,180,0.009752389247141835
main_matrix,-3.289120359702109,0.2336869898132751,retention_alpha_1p5,90,90,4,90,-0.004405237994287159
extra_holdout,0.0009333676530508004,0.00014121055051206807,retention_alpha_1p5,90,135,4,0,0.008081294563289099
all,-1.315088123289013,0.09355952225561728,retention_alpha_1p5,180,225,4,90,0.008081294563289099
