base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1244,2315,8000,12,-34.654895569659864,0.0389805991404212,0.02350030066247175,0.5429345910734116,-36.90439795407029,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.380548156269393
180,3715,8000,12,-34.654895569659864,0.0389805991404212,0.02350030066247175,0.5429345910734116,-36.90439795407029,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.380548156269393
1236,2215,8000,16,-34.654850739771405,0.038980626737674745,0.023500035451621826,0.5428919853183819,-36.90399478520072,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.380529937039402
188,3615,8000,16,-34.654850739771405,0.038980626737674745,0.023500035451621826,0.5428919853183819,-36.90399478520072,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.380529937039402
187,6924,5000,16,-34.62731944977928,0.041140036907310766,0.024356544896885636,0.5428919853183819,-39.99828227176799,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.815010614913563
179,7024,5000,12,-34.62730095295141,0.04114010578386126,0.024356850742001453,0.5429345910734116,-39.99855648708521,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.814860469699134
171,7124,5000,8,-34.62623364510128,0.041141074689469,0.024361911031878094,0.5431959145327,-40.00033742418082,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.811977132247559
435,5434,5000,8,-34.614241049846314,0.04659851607324641,0.019504633129724665,0.456343264080668,-37.73960927082926,15,0.015,0.0,0.5,0.6,0.05,15,7.0,20.0,15,-5.981981810346248
467,5534,5000,12,-34.612608707633186,0.04659107268120888,0.019485698276700818,0.45546476997885227,-37.73338343088335,15,0.015,0.0,0.5,0.6,0.05,15,7.0,20.0,15,-5.981862452761377
475,5634,5000,16,-34.61221614472929,0.04659046041807396,0.019484544766245438,0.45531874975747144,-37.73164482337001,15,0.015,0.0,0.5,0.6,0.05,15,7.0,20.0,15,-5.981715865896453
1564,156,8000,8,-34.59496599720823,0.045017306945547945,0.02016252651380646,0.475275719197431,-40.874599903224805,15,0.02,0.0,0.75,0.9,0.05,15,7.0,20.0,15,-5.6815523690428416
1580,56,8000,12,-34.594802068208736,0.04501456760546455,0.02015016796119049,0.4746148908293079,-40.873168385152916,15,0.02,0.0,0.75,0.9,0.05,15,7.0,20.0,15,-5.6814501899613346
1579,1746,5000,12,-34.54620357324153,0.05040417834961275,0.02131147995263134,0.4746148908293079,-33.15654527746682,15,0.02,0.0,0.6,0.9,0.05,15,7.0,20.0,15,-6.156982086132001
1563,1846,5000,8,-34.54523548782944,0.05040675829238899,0.021325723103067667,0.475275719197431,-33.15878605676181,15,0.02,0.0,0.6,0.9,0.05,15,7.0,20.0,15,-6.156926431007326
1284,3213,8000,12,-34.538341411785346,0.03843000292538589,0.021580711339535066,0.5468581394829484,-36.59954074942381,15,0.05,0.25,0.2,0.5,0.05,15,2.0,20.0,15,-5.492135221758332
1292,3113,8000,16,-34.5382752834361,0.038430013069934627,0.0215804724524408,0.546816278389047,-36.59923665752235,15,0.05,0.25,0.2,0.5,0.05,15,2.0,20.0,15,-5.492167776277834
1276,3313,8000,8,-34.53810686192428,0.038430940933230094,0.02158468977505172,0.5471152382567782,-36.60058390474512,15,0.05,0.25,0.2,0.5,0.05,15,2.0,20.0,15,-5.489810167432041
1292,3125,8000,16,-34.532333792183934,0.03334298590737872,0.0215804724524408,0.546816278389047,-39.67862758520789,15,0.05,0.25,0.35,0.75,0.05,15,2.0,20.0,15,-5.380529937039402
1284,3225,8000,12,-34.53230822406427,0.03334297569082668,0.021580711339535066,0.5468581394829484,-39.678677525243785,15,0.05,0.25,0.35,0.75,0.05,15,2.0,20.0,15,-5.380548156269393
1276,3325,8000,8,-34.53222021497788,0.03334376767556832,0.02158468977505172,0.5471152382567782,-39.67884883928993,15,0.05,0.25,0.35,0.75,0.05,15,2.0,20.0,15,-5.38067105025063
1580,55,8000,12,-34.52649842227391,0.04702331494324205,0.02015016796119049,0.4746148908293079,-40.873168385152916,15,0.02,0.0,0.75,0.75,0.05,15,7.0,20.0,15,-6.081117679037651
1564,155,8000,8,-34.523736971191475,0.04702634546372782,0.02016252651380646,0.475275719197431,-40.874599903224805,15,0.02,0.0,0.75,0.75,0.05,15,7.0,20.0,15,-6.0812286163267615
1564,136,8000,8,-34.50616993682828,0.04861372765112283,0.02016252651380646,0.475275719197431,-33.70406245891151,15,0.02,0.0,0.5,0.9,0.05,15,7.0,20.0,15,-5.6815523690428416
1580,36,8000,12,-34.505371767845574,0.048611097938474644,0.02015016796119049,0.4746148908293079,-33.70105672077124,15,0.02,0.0,0.5,0.9,0.05,15,7.0,20.0,15,-5.6814501899613346
1236,2225,8000,16,-34.49783759305133,0.03710052312006707,0.023500035451621826,0.5428919853183819,-41.728394704159754,15,0.05,0.25,0.35,0.75,0.05,15,4.0,20.0,15,-5.380529937039402
188,3625,8000,16,-34.49783759305133,0.03710052312006707,0.023500035451621826,0.5428919853183819,-41.728394704159754,15,0.05,0.25,0.35,0.75,0.05,15,4.0,20.0,15,-5.380529937039402
1244,2325,8000,12,-34.497806496701976,0.037100502186701204,0.02350030066247175,0.5429345910734116,-41.72852801915548,15,0.05,0.25,0.35,0.75,0.05,15,4.0,20.0,15,-5.380548156269393
180,3725,8000,12,-34.497806496701976,0.037100502186701204,0.02350030066247175,0.5429345910734116,-41.72852801915548,15,0.05,0.25,0.35,0.75,0.05,15,4.0,20.0,15,-5.380548156269393
