config_id,gate_mode,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,wins,worst_delta
64,high_lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
65,high_lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
66,high_lr,signed,0.1,-37.48411767377171,0.01869096817733617,0.003172409894875579,0.04072109983021251,-40.477293275340145,15,15,1,15,-10.564665827917686
67,high_lr,signed,0.1,-37.45020336111182,0.01869096817733617,0.004282753358082032,0.04072109983021251,-40.477293275340145,15,15,0,15,-10.480041415715391
68,high_lr,nonpos,0.3,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
69,high_lr,nonpos,0.3,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
70,high_lr,signed,0.3,-37.52741388195032,0.01870120313151112,0.000352956634784717,0.04073548777064614,-40.477293275340145,15,15,1,15,-10.775120682270744
71,high_lr,signed,0.3,-37.52625082586397,0.01870120313151112,0.000476491456959368,0.04073548777064614,-40.477293275340145,15,15,0,15,-10.76570551829301
72,one_minus_lr,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
73,one_minus_lr,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
74,one_minus_lr,signed,0.001,24.56284201356664,0.019548413949128634,0.17328433751531966,0.014459848183895015,3.073365860495425,7,15,1,7,200.0870413862907
75,one_minus_lr,signed,0.001,53.220535054732956,0.019548413949128634,0.23393385564568156,0.014459848183895015,15.12790610564192,7,15,0,7,308.3351414158438
76,one_minus_lr,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
77,one_minus_lr,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
