cosine_to_wsd,feature,max_kappa,mean_all,mean_kappa,mean_off_group,mean_wsd_targets,probe_to_wsd,tests_all,train_id,wins_all,worst_off_group
351.6065344572092,S10_cap1024,0.773764461600978,477.7413827731031,0.6687095527929893,585.1214874599306,351.6065344572092,nan,18,cosine,3,1422.6953734545332
229.4632648650281,S10_current,0.5358652541815773,495.86143414561957,0.4532190273570035,602.6686124891263,229.4632648650281,nan,18,cosine,3,2144.7560362028958
417.35263763344847,S10_cap512,1.1786240174557023,490.75725636209216,1.024157202360828,603.7085070912593,417.35263763344847,nan,18,cosine,3,1373.1045382043537
301.4053300661997,S20_cap1024,1.1697525382474492,498.9662974969012,0.9984401792460305,607.5742606918938,301.4053300661997,nan,18,cosine,3,1737.9922618749756
389.1006656233867,S20_cap512,1.5568370461303667,528.0958833077883,1.3469831841659914,645.7974621462538,389.1006656233867,nan,18,cosine,3,1529.7571994724995
434.15467280328994,step_tau256,2.204208791744662,527.0106719663576,1.9111344733438784,646.6100841092224,434.15467280328994,nan,18,cosine,3,1445.8163962053898
275.0451217315394,S20,1.093310783166576,577.6108496872823,0.9273648856278053,701.133605109769,275.0451217315394,nan,18,cosine,3,2596.0639242443935
313.890375534417,S50,2.7779593093874078,678.1168771257372,2.3622046109879333,822.0567824875677,313.890375534417,nan,18,cosine,3,2870.308062247637
332.9629610888249,S100,5.583422938144913,831.9395419208613,4.75271818931766,1006.7751979021741,332.9629610888249,nan,18,cosine,3,3196.239500018194
345.85858352089787,S200,11.168029677916005,1163.5422738467482,9.512434400052696,1404.795013044795,345.85858352089787,nan,18,cosine,3,3867.8668054094983
nan,local_drop,48.946749697407505,2913.5008963091186,37.11447603111258,4382.164814842228,-23.8269407571028,nan,18,wsd,9,10076.344026421428
455.9056953807742,local_drop,564.6679218441748,42870.35541456269,489.5322161961746,51458.55504227316,455.9056953807742,nan,18,cosine,3,149972.4639888704
